年级单元,单词,音标,释义,例句
七年级上册U3,special,/ˈspeʃl/,特别的；特殊的,Today is a special day.
七年级上册U3,smart,/smɑːt/,智能的；聪明的,The phone is very smart.
七年级上册U3,whiteboard,/ˈwaɪtbɔːd/,白板,Write it on the whiteboard.
七年级上册U3,important,/ɪmˈpɔːtnt/,重要的,English is important.
七年级上册U3,notice,/ˈnəʊtɪs/,通知；注意,Please read the notice.
七年级上册U3,locker,/ˈlɒkə(r)/,有锁存物柜,Put your bag in the locker.
七年级上册U3,drawer,/drɔː(r)/,抽屉,The pen is in the drawer.
七年级上册U3,corner,/ˈkɔːnə(r)/,角；墙角；街角,The desk is in the corner.
七年级上册U3,bookcase,/ˈbʊkkeɪs/,书架；书柜,The books are in the bookcase.
七年级上册U3,screen,/skriːn/,屏幕；银幕,The screen is big.
七年级上册U3,modern,/ˈmɒdn/,现代的；当代的,The building is very modern.
七年级上册U3,amazing,/əˈmeɪzɪŋ/,令人惊奇的,The view is amazing.
七年级上册U3,raise,/reɪz/,使升高；提高,Raise your hand.
七年级上册U3,flag,/flæɡ/,旗；旗帜,The flag is red.
七年级上册U3,most,/məʊst/,大多数；最多；最,Most students like PE.
七年级上册U3,change,/tʃeɪndʒ/,改变；变化,People change over time.
七年级上册U3,seat,/siːt/,座位,Please take your seat.
七年级上册U3,delicious,/dɪˈlɪʃəs/,美味的；可口的,The food is delicious.
七年级上册U3,similar,/ˈsɪmələ(r)/,类似的；相像的,Our bags are similar.
七年级上册U3,sound,/saʊnd/,听起来；好像；声音,That sounds great!
七年级上册U4,biology,/baɪˈɒlədʒi/,生物学,We study biology on Monday.
七年级上册U4,IT,,信息技术,I like IT class.
七年级上册U4,geography,/dʒiˈɒɡrəfi/,地理（学）,Geography is interesting.
七年级上册U4,history,/ˈhɪstri/,历史；历史课,I like history very much.
七年级上册U4,boring,/ˈbɔːrɪŋ/,乏味的；令人生厌的,The movie is boring.
七年级上册U4,useful,/ˈjuːsfl/,有用的；有益的,This book is very useful.
七年级上册U4,exciting,/ɪkˈsaɪtɪŋ/,令人激动的；使人兴奋的,The game is exciting.
七年级上册U4,past,/pɑːst/,过去；过去的；在……之后,The class is at half past eight.
七年级上册U4,number,/ˈnʌmbə(r)/,数字；号码,My lucky number is 7.
七年级上册U4,reason,/ˈriːzn/,原因；理由,Tell me the reason.
七年级上册U4,remember,/rɪˈmembə(r)/,记住；记起,Please remember the words.
七年级上册U4,French,/frentʃ/,法语；法国的,He can speak French.
七年级上册U4,excellent,/ˈeksələnt/,优秀的；极好的,You did an excellent job!
七年级上册U4,instrument,/ˈɪnstrəmənt/,器械；工具,The piano is an instrument.
七年级上册U4,singer,/ˈsɪŋə(r)/,歌手,She is a famous singer.
七年级上册U4,future,/ˈfjuːtʃə(r)/,将来；未来,What do you want to be in the future?
七年级上册U4,term,/tɜːm/,学期,This term we have new subjects.
七年级上册U4,problem,/ˈprɒbləm/,难题；困难,Can you solve this problem?
七年级上册U4,magic,/ˈmædʒɪk/,魔法；有魔力的,The magic show is fun.
七年级上册U4,life,/laɪf/,生活；生命,School life is wonderful.
七年级上册U4,scientist,/ˈsaɪəntɪst/,科学家,He wants to be a scientist.
七年级上册U5,club,/klʌb/,俱乐部；社团,Which club do you want to join?
七年级上册U5,join,/dʒɔɪn/,参加；加入,Let's join the club.
七年级上册U5,choose,/tʃuːz/,选择；挑选,Which one do you choose?
七年级上册U5,drama,/ˈdrɑːmə/,戏剧；戏剧表演,I like drama class.
七年级上册U5,feeling,/ˈfiːlɪŋ/,感觉；情感,I have a good feeling.
七年级上册U5,news,/njuːz/,消息；新闻,I watch the news every day.
七年级上册U5,musical,/ˈmjuːzɪkl/,音乐的；有音乐天赋的,He is very musical.
七年级上册U5,exactly,/ɪɡˈzæktli/,正是如此；准确地,That's exactly right!
七年级上册U5,drum,/drʌm/,鼓,He plays the drums.
七年级上册U5,ability,/əˈbɪləti/,能力；才能,She has the ability to sing.
七年级上册U5,paint,/peɪnt/,用颜料画；油漆,Let's paint a picture.
七年级上册U5,climb,/klaɪm/,攀登；爬,He can climb the tree.
七年级上册U5,more,/mɔː(r)/,更多（的）,I want more rice.
七年级上册U5,act,/ækt/,扮演；行动；一幕,He acts in the play.
七年级上册U5,interested,/ˈɪntrəstɪd/,感兴趣的,I am interested in English.
七年级上册U5,nature,/ˈneɪtʃə(r)/,自然界；大自然,I love nature.
七年级上册U5,beef,/biːf/,牛肉,We have beef for dinner.
七年级上册U5,soon,/suːn/,不久；很快,See you soon!
七年级上册U5,than,/ðən; ðæn/,比,He is taller than me.
七年级上册U5,mind,/maɪnd/,头脑；心思,Use your mind to solve it.
七年级上册U5,fall,/fɔːl/,进入；掉落；秋天,Leaves fall in autumn.
七年级上册U5,collect,/kəˈlekt/,收集；采集,He collects stamps.
七年级上册U5,insect,/ˈɪnsekt/,昆虫,There are many insects.
七年级上册U5,discover,/dɪˈskʌvə(r)/,发现；发觉,I discover a new way.
七年级上册U5,wildlife,/ˈwaɪldlaɪf/,野生动物；野生生物,We should protect wildlife.
七年级上册U6,shower,/ˈʃaʊə(r)/,淋浴；洗淋浴,I take a shower in the morning.
七年级上册U6,brush,/brʌʃ/,（用刷子）刷；刷子,Brush your teeth.
七年级上册U6,tooth,/tuːθ/,牙齿（pl. teeth）,I brush my teeth twice a day.
七年级上册U6,duty,/ˈdjuːti/,值班；职责,Who is on duty today?
七年级上册U6,usually,/ˈjuːʒuəli/,通常地；一般地,I usually get up at 6.
七年级上册U6,reporter,/rɪˈpɔːtə(r)/,记者,She is a TV reporter.
七年级上册U6,around,/əˈraʊnd/,大约；环绕；到处,He walks around the school.
七年级上册U6,homework,/ˈhəʊmwɜːk/,家庭作业,I do my homework every day.
七年级上册U6,saying,/ˈseɪɪŋ/,谚语；格言,There is a saying.
七年级上册U6,rise,/raɪz/,起床；升起；增长,The sun rises in the east.
七年级上册U6,stay,/steɪ/,停留；待,Stay at home on weekends.
七年级上册U6,routine,/ruːˈtiːn/,常规,This is my daily routine.
七年级上册U6,restaurant,/ˈrestrɒnt/,餐馆；餐厅,Let's eat in the restaurant.
七年级上册U6,housework,/ˈhaʊswɜːk/,家务劳动,I help with housework.
七年级上册U6,while,/waɪl/,一段时间；在……期间,He reads while I write.
七年级上册U6,weekend,/ˌwiːkˈend/,周末,What do you do on weekends?
七年级上册U6,daily,/ˈdeɪli/,每日的；日常的,This is my daily life.
七年级上册U6,only,/ˈəʊnli/,只；仅,I only have one sister.
七年级上册U6,break,/breɪk/,休息；间断；（使）破碎,We have a break at 10 am.
七年级上册U6,Finnish,/ˈfɪnɪʃ/,芬兰语；芬兰的,He speaks Finnish.
七年级上册U6,finish,/ˈfɪnɪʃ/,结束；完成,I finish my homework at 8 pm.
七年级上册U6,already,/ɔːlˈredi/,已经；早已,It is already 5 o'clock.
七年级上册U6,dark,/dɑːk/,昏暗的；深色的,It is dark outside.
七年级上册U6,outside,/ˌaʊtˈsaɪd/,在外面；在……外面,Don't go outside alone.
七年级上册U6,prepare,/prɪˈpeə(r)/,把……准备好；准备,Prepare for the test.
七年级上册U7,celebrate,/ˈselɪbreɪt/,庆祝；庆贺,We celebrate Christmas.
七年级上册U7,surprise,/səˈpraɪz/,惊奇；惊讶；使感到意外,What a surprise!
七年级上册U7,something,/ˈsʌmθɪŋ/,某事；某物,I want something to eat.
七年级上册U7,sale,/seɪl/,出售；销售,The shirt is on sale.
七年级上册U7,kilo,/ˈkiːləʊ/,千克；公斤,Two kilos of apples please.
七年级上册U7,yogurt,/ˈjɒɡət/,酸奶,I like yogurt for breakfast.
七年级上册U7,total,/ˈtəʊtl/,总数；合计；总的,The total is 100 yuan.
七年级上册U7,price,/praɪs/,价格,The price is reasonable.
七年级上册U7,balloon,/bəˈluːn/,气球,There are balloons at the party.
七年级上册U7,chocolate,/ˈtʃɒklət/,巧克力,I love chocolate.
七年级上册U7,pizza,/ˈpiːtsə/,比萨饼,Let's have pizza for lunch.
七年级上册U7,list,/lɪst/,列表；名单；清单,Make a shopping list.
七年级上册U7,own,/əʊn/,自己的；本人的,This is my own room.
七年级上册U7,example,/ɪɡˈzɑːmpl/,例子；范例,For example he is tall.
七年级上册U7,language,/ˈlæŋɡwɪdʒ/,语言,English is a useful language.
七年级上册U7,international,/ˌɪntəˈnæʃnəl/,国际的,China has many international friends.
七年级上册U7,mark,/mɑːk/,做记号；纪念；记号,Mark the date on your calendar.
七年级上册U7,national,/ˈnæʃnəl/,国家的；民族的,National Day is on October 1st.
七年级上册U7,found,/faʊnd/,创建；创立,The school was found in 1900.
七年级上册U7,meaningful,/ˈmiːnɪŋfl/,重要的；重大的,This is a meaningful activity.
七年级上册U7,village,/ˈvɪlɪdʒ/,村庄；村镇,He lives in a small village.
七年级上册U7,grow,/ɡrəʊ/,成长；长大；增长,I want to grow up.
七年级上册U7,blow,/bləʊ/,吹；刮,Blow out the candles.
七年级上册U7,enjoy,/ɪnˈdʒɔɪ/,享受……的乐趣；喜欢,I enjoy reading books.
七年级上册U7,height,/haɪt/,身高；高度,What is your height?
七年级上册U7,later,/ˈleɪtə(r)/,以后（的）；后来（的）,See you later!
七年级上册U7,whom,/huːm/,谁；什么人,Whom did you meet?
七年级下册U1,fox,/fɒks/,狐狸,The fox is clever.
七年级下册U1,giraffe,/dʒəˈrɑːf/,长颈鹿,Giraffes are very tall.
七年级下册U1,eagle,/ˈiːɡl/,雕；鹰,The eagle can fly high.
七年级下册U1,wolf,/wʊlf/,狼（pl. wolves）,The wolf howls at night.
七年级下册U1,penguin,/ˈpeŋɡwɪn/,企鹅,Penguins live in Antarctica.
七年级下册U1,care,/keə(r)/,照顾；关心,Take care of yourself.
七年级下册U1,sandwich,/ˈsænwɪtʃ/,三明治,I eat a sandwich for lunch.
七年级下册U1,snake,/sneɪk/,蛇,The snake is long.
七年级下册U1,scary,/ˈskeəri/,吓人的,The movie is scary.
七年级下册U1,neck,/nek/,脖子,The giraffe has a long neck.
七年级下册U1,guess,/ɡes/,猜测,Guess what I have!
七年级下册U1,shark,/ʃɑːk/,鲨鱼,Sharks live in the sea.
七年级下册U1,whale,/weɪl/,鲸,The whale is huge.
七年级下册U1,huge,/hjuːdʒ/,巨大的,The elephant is huge.
七年级下册U1,dangerous,/ˈdeɪndʒərəs/,危险的,Tigers are dangerous.
七年级下册U1,save,/seɪv/,救；储蓄,We should save the animals.
七年级下册U1,luck,/lʌk/,幸运,Good luck to you!
七年级下册U1,trunk,/trʌŋk/,象鼻,The elephant uses its trunk.
七年级下册U1,pick,/pɪk/,捡；摘,Pick up the book.
七年级下册U1,carry,/ˈkæri/,拿；提,Can you carry this box?
七年级下册U1,playful,/ˈpleɪfl/,爱嬉戏的,The puppy is playful.
七年级下册U1,swimmer,/ˈswɪmə(r)/,游泳者,He is a good swimmer.
七年级下册U1,culture,/ˈkʌltʃə(r)/,文化,Chinese culture is rich.
七年级下册U2,rule,/ruːl/,规则；规章,Follow the school rules.
七年级下册U2,order,/ˈɔːdə(r)/,秩序；顺序；命令,Keep order in the classroom.
七年级下册U2,follow,/ˈfɒləʊ/,遵守；跟随,Follow the rules.
七年级下册U2,break,/breɪk/,打破；违反,Don't break the rules.
七年级下册U2,library,/ˈlaɪbrəri/,图书馆,Be quiet in the library.
七年级下册U2,hallway,/ˈhɔːlweɪ/,走廊；过道,Don't run in the hallway.
七年级下册U2,listen,/ˈlɪsn/,听,Listen to the teacher.
七年级下册U2,fight,/faɪt/,打架；战斗,Don't fight with others.
七年级下册U2,sorry,/ˈsɒri/,抱歉的；难过的,I'm sorry for being late.
七年级下册U2,wear,/weə(r)/,穿；戴,We must wear uniforms.
七年级下册U2,important,/ɪmˈpɔːtnt/,重要的,It is important to study.
七年级下册U2,bring,/brɪŋ/,带来,Bring your book to class.
七年级下册U2,uniform,/ˈjuːnɪfɔːm/,制服,Our school uniforms are blue.
七年级下册U2,quiet,/ˈkwaɪət/,安静的,Please keep quiet.
七年级下册U2,practice,/ˈpræktɪs/,练习,Practice makes perfect.
七年级下册U2,dish,/dɪʃ/,盘；碟,Please wash the dishes.
七年级下册U2,wash,/wɒʃ/,洗,Wash your hands.
七年级下册U2,before,/bɪˈfɔː(r)/,在……以前,Wash your hands before eating.
七年级下册U2,dirty,/ˈdɜːti/,脏的,The room is dirty.
七年级下册U2,kitchen,/ˈkɪtʃɪn/,厨房,Don't eat in the kitchen.
七年级下册U2,noisy,/ˈnɔɪzi/,嘈杂的；喧闹的,The classroom is too noisy.
七年级下册U2,relax,/rɪˈlæks/,放松；休息,Relax and enjoy the music.
七年级下册U2,terrible,/ˈterəbl/,糟糕的；可怕的,The weather is terrible.
七年级下册U2,feel,/fiːl/,感觉；觉得,I feel happy today.
七年级下册U2,strict,/strɪkt/,严格的；严厉的,Our teacher is strict.
七年级下册U2,remember,/rɪˈmembə(r)/,记住；记起,Remember the rules.
七年级下册U2,keep,/kiːp/,保持；保留,Keep the room clean.
七年级下册U2,learn,/lɜːn/,学习；学会,Learn the new words.
七年级下册U2,lucky,/ˈlʌki/,幸运的,You are very lucky!
七年级下册U3,healthy,/ˈhelθi/,健康的,Eat healthy food.
七年级下册U3,fit,/fɪt/,健康的；适合的,Keep fit!
七年级下册U3,exercise,/ˈeksəsaɪz/,锻炼；运动,We exercise every day.
七年级下册U3,sport,/spɔːt/,运动,Basketball is my favorite sport.
七年级下册U3,basketball,/ˈbɑːskɪtbɔːl/,篮球,Let's play basketball.
七年级下册U3,football,/ˈfʊtbɔːl/,足球；橄榄球,He plays football well.
七年级下册U3,tennis,/ˈtenɪs/,网球,We have tennis class.
七年级下册U3,swimming,/ˈswɪmɪŋ/,游泳,Swimming is fun in summer.
七年级下册U3,running,/ˈrʌnɪŋ/,跑步,Running is good exercise.
七年级下册U3,gym,/dʒɪm/,体育馆；健身房,He goes to the gym.
七年级下册U3,yoga,/ˈjəʊɡə/,瑜伽,She does yoga every morning.
七年级下册U3,team,/tiːm/,团队；队,We are on the same team.
七年级下册U3,game,/ɡeɪm/,比赛；游戏,The game is exciting.
七年级下册U3,player,/ˈpleɪə(r)/,运动员；玩家,He is a good basketball player.
七年级下册U3,win,/wɪn/,获胜；赢,Our team can win!
七年级下册U3,lose,/luːz/,输掉；丢失,Don't lose hope.
七年级下册U3,score,/skɔː(r)/,得分；比分,The score is 2-1.
七年级下册U3,health,/helθ/,健康,Health is wealth.
七年级下册U3,body,/ˈbɒdi/,身体,We should keep our body healthy.
七年级下册U3,active,/ˈæktɪv/,积极的；活跃的,Stay active every day.
七年级下册U3,strong,/strɒŋ/,强壮的,He is very strong.
七年级下册U4,watermelon,/ˈwɔːtəmelən/,西瓜,Watermelon is sweet.
七年级下册U4,cabbage,/ˈkæbɪdʒ/,卷心菜；洋白菜,Cabbage is good for health.
七年级下册U4,mutton,/ˈmʌtn/,羊肉,I like mutton noodles.
七年级下册U4,cookie,/ˈkʊki/,曲奇饼,These cookies are delicious.
七年级下册U4,onion,/ˈʌnjən/,洋葱,Onions make me cry.
七年级下册U4,dumpling,/ˈdʌmplɪŋ/,饺子,We eat dumplings at New Year.
七年级下册U4,coffee,/ˈkɒfi/,咖啡,Would you like some coffee?
七年级下册U4,bean,/biːn/,豆；豆类,Green beans are healthy.
七年级下册U4,chip,/tʃɪp/,炸薯条,The fish and chips is great.
七年级下册U4,salad,/ˈsæləd/,沙拉,I have salad for lunch.
七年级下册U4,porridge,/ˈpɒrɪdʒ/,粥；麦片粥,I eat porridge for breakfast.
七年级下册U4,waiter,/ˈweɪtə(r)/,男服务员,The waiter brings the menu.
七年级下册U4,taste,/teɪst/,尝；味道,The soup tastes good.
七年级下册U4,menu,/ˈmenjuː/,菜单,Let's look at the menu.
七年级下册U4,customer,/ˈkʌstəmə(r)/,顾客,The customer orders food.
七年级下册U4,serve,/sɜːv/,服务；提供,They serve delicious food.
七年级下册U4,sugar,/ˈʃʊɡə(r)/,糖,Don't eat too much sugar.
七年级下册U4,salt,/sɔːlt/,盐,Please add some salt.
七年级下册U4,fat,/fæt/,脂肪；肥胖的,This food has too much fat.
七年级下册U4,balanced,/ˈbælənst/,均衡的,Eat a balanced diet.
七年级下册U4,energy,/ˈenədʒi/,能量；精力,We need energy to study.
七年级下册U4,habit,/ˈhæbɪt/,习惯,Good eating habits are important.
七年级下册U4,thirsty,/ˈθɜːsti/,渴的,Are you thirsty?
七年级下册U5,newspaper,/ˈnjuːzpeɪpə(r)/,报纸,My father reads a newspaper.
七年级下册U5,soup,/suːp/,汤,I like chicken soup.
七年级下册U5,movie,/ˈmuːvi/,电影,Let's watch a movie.
七年级下册U5,drink,/drɪŋk/,喝；饮料,What would you like to drink?
七年级下册U5,tea,/tiː/,茶；茶叶,Would you like some tea?
七年级下册U5,pool,/puːl/,水池；游泳池,The children swim in the pool.
七年级下册U5,shop,/ʃɒp/,商店；购物,Let's go shopping.
七年级下册U5,supermarket,/ˈsuːpəmɑːkɪt/,超市,We buy food at the supermarket.
七年级下册U5,race,/reɪs/,比赛；赛跑,He won the race.
七年级下册U5,host,/həʊst/,主人；主办,Beijing hosted the Olympics.
七年级下册U5,study,/ˈstʌdi/,学习；研究,She studies hard.
七年级下册U5,state,/steɪt/,状态；国家；州,The US has 50 states.
七年级下册U5,American,/əˈmerɪkən/,美国的；美国人,She is American.
七年级下册U5,dragon,/ˈdræɡən/,龙,The dragon is a symbol of China.
七年级下册U5,festival,/ˈfestɪvl/,节日,Spring Festival is in January.
七年级下册U5,young,/jʌŋ/,年轻的；年幼的,The young boy is cute.
七年级下册U5,child,/tʃaɪld/,小孩；儿童（pl. children）,The child is playing.
七年级下册U5,miss,/mɪs/,思念；错过,I miss my family.
七年级下册U5,hope,/həʊp/,希望,I hope to see you soon.
七年级下册U5,still,/stɪl/,仍然；还,He is still sleeping.
七年级下册U6,rain,/reɪn/,下雨；雨,It is raining outside.
七年级下册U6,windy,/ˈwɪndi/,有风的,It's windy in spring.
七年级下册U6,cloudy,/ˈklaʊdi/,多云的,Today is cloudy.
七年级下册U6,sunny,/ˈsʌni/,晴朗的,It's a sunny day.
七年级下册U6,snowy,/ˈsnəʊi/,下雪的,It is snowy in winter.
七年级下册U6,weather,/ˈweðə(r)/,天气,What's the weather like?
七年级下册U6,cook,/kʊk/,烹饪；厨师,My mom cooks dinner.
七年级下册U6,park,/pɑːk/,公园,Let's go to the park.
七年级下册U6,message,/ˈmesɪdʒ/,消息；信息,Leave a message please.
七年级下册U6,tell,/tel/,告诉；讲述,Tell me your name.
七年级下册U6,difficult,/ˈdɪfɪkəlt/,困难的,The test is difficult.
七年级下册U6,problem,/ˈprɒbləm/,问题；难题,No problem!
七年级下册U6,again,/əˈɡen/,再一次；又一次,Can you say it again?
七年级下册U6,dry,/draɪ/,干燥的；使变干,The weather is dry.
七年级下册U6,cold,/kəʊld/,寒冷的,It's cold in winter.
七年级下册U6,hot,/hɒt/,热的,Summer is hot.
七年级下册U6,warm,/wɔːm/,温暖的,Spring is warm.
七年级下册U6,visit,/ˈvɪzɪt/,拜访；参观,I want to visit Beijing.
七年级下册U6,Canada,/ˈkænədə/,加拿大,He is from Canada.
七年级下册U6,summer,/ˈsʌmə(r)/,夏天,Summer vacation is coming.
七年级下册U6,sit,/sɪt/,坐,Please sit down.
七年级下册U6,juice,/dʒuːs/,果汁,I'd like a glass of juice.
七年级下册U6,holiday,/ˈhɒlədeɪ/,假日；节日,We have a holiday.
七年级下册U6,vacation,/veɪˈkeɪʃn/,假期,I am on summer vacation.
七年级下册U6,mountain,/ˈmaʊntən/,山；山脉,The mountain is high.
七年级下册U6,country,/ˈkʌntri/,国家；乡村,China is my country.
七年级下册U6,skate,/skeɪt/,滑冰,We skate in winter.
七年级下册U6,winter,/ˈwɪntə(r)/,冬天,Winter is cold.
七年级下册U6,Russian,/ˈrʌʃn/,俄罗斯的；俄语,He speaks Russian.
七年级下册U7,camp,/kæmp/,露营；营地,We go camping in summer.
七年级下册U7,lake,/leɪk/,湖；湖泊,The lake is beautiful.
七年级下册U7,beach,/biːtʃ/,海滩；沙滩,Let's go to the beach.
七年级下册U7,badminton,/ˈbædmɪntən/,羽毛球,We play badminton.
七年级下册U7,sheep,/ʃiːp/,绵羊,The sheep are white.
七年级下册U7,natural,/ˈnætʃrəl/,自然的；天然的,The park is natural.
七年级下册U7,butterfly,/ˈbʌtəflaɪ/,蝴蝶,A butterfly flies in the garden.
七年级下册U7,visitor,/ˈvɪzɪtə(r)/,游客；访问者,Many visitors come here.
七年级下册U7,tired,/ˈtaɪəd/,疲倦的；疲劳的,I am tired after the trip.
七年级下册U7,sleep,/sliːp/,睡觉,Go to sleep early.
七年级下册U7,leave,/liːv/,离开；留下,Don't leave the door open.
七年级下册U7,mouse,/maʊs/,老鼠（pl. mice）,The mouse is small.
七年级下册U7,shout,/ʃaʊt/,喊叫；大声说,Don't shout in class.
七年级下册U7,fly,/flaɪ/,飞；放（风筝）,Let's fly a kite.
七年级下册U7,kite,/kaɪt/,风筝,The kite is in the sky.
七年级下册U7,high,/haɪ/,高的；高地,The bird flies high.
七年级下册U7,middle,/ˈmɪdl/,中间；中等,He sits in the middle.
七年级下册U7,tent,/tent/,帐篷,We put up a tent.
七年级下册U7,moon,/muːn/,月亮,The moon is bright.
七年级下册U7,move,/muːv/,移动；搬家,Move your chair.
七年级下册U7,jump,/dʒʌmp/,跳；跃,The cat can jump high.
七年级下册U7,wake,/weɪk/,醒；醒来,Wake up! It's 7 o'clock.
七年级下册U7,forest,/ˈfɒrɪst/,森林,The forest is large.
七年级下册U7,ear,/ɪə(r)/,耳朵,Rabbits have long ears.
七年级下册U8,story,/ˈstɔːri/,故事；小说,Tell me a story.
七年级下册U8,once,/wʌns/,曾经；一次,Once upon a time...
七年级下册U8,brave,/breɪv/,勇敢的,The boy is brave.
七年级下册U8,clever,/ˈklevə(r)/,聪明的,The fox is clever.
七年级下册U8,prince,/prɪns/,王子,The prince lives in a castle.
七年级下册U8,princess,/ˌprɪnˈses/,公主,The princess is kind.
七年级下册U8,castle,/ˈkɑːsl/,城堡,The castle is old.
七年级下册U8,magic,/ˈmædʒɪk/,魔法；有魔力的,The fairy has magic.
七年级下册U8,fairy,/ˈfeəri/,仙女；小精灵,The fairy grants wishes.
七年级下册U8,scared,/skeəd/,害怕的；恐惧的,I am scared of the dark.
七年级下册U8,honest,/ˈɒnɪst/,诚实的,Be an honest person.
七年级下册U8,truth,/truːθ/,真相；事实,Tell me the truth.
七年级下册U8,power,/ˈpaʊə(r)/,力量；权力,Knowledge is power.
七年级下册U8,cheat,/tʃiːt/,欺骗；作弊,Don't cheat in exams.
