年级单元,单词,音标,释义,例句
七年级上册U3,special,/ˈspeʃl/,特别的；特殊的,Today is a special day.
七年级上册U3,smart,/smɑːt/,智能的；聪明的,The phone is very smart.
七年级上册U3,whiteboard,/ˈwaɪtbɔːd/,白板,Write it on the whiteboard.
七年级上册U3,important,/ɪmˈpɔːtnt/,重要的,English is important.
七年级上册U3,notice,/ˈnəʊtɪs/,通知；注意,Please read the notice.
七年级上册U3,locker,/ˈlɒkə(r)/,有锁存物柜,Put your bag in the locker.
七年级上册U3,drawer,/drɔː(r)/,抽屉,The pen is in the drawer.
七年级上册U3,corner,/ˈkɔːnə(r)/,角；墙角；街角,The desk is in the corner.
七年级上册U3,bookcase,/ˈbʊkkeɪs/,书架；书柜,The books are in the bookcase.
七年级上册U3,screen,/skriːn/,屏幕；银幕,The screen is big.
七年级上册U3,modern,/ˈmɒdn/,现代的；当代的,The building is very modern.
七年级上册U3,amazing,/əˈmeɪzɪŋ/,令人惊奇的,The view is amazing.
七年级上册U3,raise,/reɪz/,使升高；提高,Raise your hand.
七年级上册U3,flag,/flæɡ/,旗；旗帜,The flag is red.
七年级上册U3,most,/məʊst/,大多数；最多；最,Most students like PE.
七年级上册U3,change,/tʃeɪndʒ/,改变；变化,People change over time.
七年级上册U3,seat,/siːt/,座位,Please take your seat.
七年级上册U3,delicious,/dɪˈlɪʃəs/,美味的；可口的,The food is delicious.
七年级上册U3,similar,/ˈsɪmələ(r)/,类似的；相像的,Our bags are similar.
七年级上册U3,sound,/saʊnd/,听起来；好像；声音,That sounds great!
七年级上册U4,biology,/baɪˈɒlədʒi/,生物学,We study biology on Monday.
七年级上册U4,IT,,信息技术,I like IT class.
七年级上册U4,geography,/dʒiˈɒɡrəfi/,地理（学）,Geography is interesting.
七年级上册U4,history,/ˈhɪstri/,历史；历史课,I like history very much.
七年级上册U4,boring,/ˈbɔːrɪŋ/,乏味的；令人生厌的,The movie is boring.
七年级上册U4,useful,/ˈjuːsfl/,有用的；有益的,This book is very useful.
七年级上册U4,exciting,/ɪkˈsaɪtɪŋ/,令人激动的；使人兴奋的,The game is exciting.
七年级上册U4,past,/pɑːst/,过去；过去的；在……之后,The class is at half past eight.
七年级上册U4,number,/ˈnʌmbə(r)/,数字；号码,My lucky number is 7.
七年级上册U4,reason,/ˈriːzn/,原因；理由,Tell me the reason.
七年级上册U4,remember,/rɪˈmembə(r)/,记住；记起,Please remember the words.
七年级上册U4,French,/frentʃ/,法语；法国的,He can speak French.
七年级上册U4,excellent,/ˈeksələnt/,优秀的；极好的,You did an excellent job!
七年级上册U4,instrument,/ˈɪnstrəmənt/,器械；工具,The piano is an instrument.
七年级上册U4,singer,/ˈsɪŋə(r)/,歌手,She is a famous singer.
七年级上册U4,future,/ˈfjuːtʃə(r)/,将来；未来,What do you want to be in the future?
七年级上册U4,term,/tɜːm/,学期,This term we have new subjects.
七年级上册U4,problem,/ˈprɒbləm/,难题；困难,Can you solve this problem?
七年级上册U4,magic,/ˈmædʒɪk/,魔法；有魔力的,The magic show is fun.
七年级上册U4,life,/laɪf/,生活；生命,School life is wonderful.
七年级上册U4,scientist,/ˈsaɪəntɪst/,科学家,He wants to be a scientist.
七年级上册U5,club,/klʌb/,俱乐部；社团,Which club do you want to join?
七年级上册U5,join,/dʒɔɪn/,参加；加入,Let's join the club.
七年级上册U5,choose,/tʃuːz/,选择；挑选,Which one do you choose?
七年级上册U5,drama,/ˈdrɑːmə/,戏剧；戏剧表演,I like drama class.
七年级上册U5,feeling,/ˈfiːlɪŋ/,感觉；情感,I have a good feeling.
七年级上册U5,news,/njuːz/,消息；新闻,I watch the news every day.
七年级上册U5,musical,/ˈmjuːzɪkl/,音乐的；有音乐天赋的,He is very musical.
七年级上册U5,exactly,/ɪɡˈzæktli/,正是如此；准确地,That's exactly right!
七年级上册U5,drum,/drʌm/,鼓,He plays the drums.
七年级上册U5,ability,/əˈbɪləti/,能力；才能,She has the ability to sing.
七年级上册U5,paint,/peɪnt/,用颜料画；油漆,Let's paint a picture.
七年级上册U5,climb,/klaɪm/,攀登；爬,He can climb the tree.
七年级上册U5,more,/mɔː(r)/,更多（的）,I want more rice.
七年级上册U5,act,/ækt/,扮演；行动；一幕,He acts in the play.
七年级上册U5,interested,/ˈɪntrəstɪd/,感兴趣的,I am interested in English.
七年级上册U5,nature,/ˈneɪtʃə(r)/,自然界；大自然,I love nature.
七年级上册U5,beef,/biːf/,牛肉,We have beef for dinner.
七年级上册U5,soon,/suːn/,不久；很快,See you soon!
七年级上册U5,than,/ðən; ðæn/,比,He is taller than me.
七年级上册U5,mind,/maɪnd/,头脑；心思,Use your mind to solve it.
七年级上册U5,fall,/fɔːl/,进入；掉落；秋天,Leaves fall in autumn.
七年级上册U5,collect,/kəˈlekt/,收集；采集,He collects stamps.
七年级上册U5,insect,/ˈɪnsekt/,昆虫,There are many insects.
七年级上册U5,discover,/dɪˈskʌvə(r)/,发现；发觉,I discover a new way.
七年级上册U5,wildlife,/ˈwaɪldlaɪf/,野生动物；野生生物,We should protect wildlife.
七年级上册U6,shower,/ˈʃaʊə(r)/,淋浴；洗淋浴,I take a shower in the morning.
七年级上册U6,brush,/brʌʃ/,（用刷子）刷；刷子,Brush your teeth.
七年级上册U6,tooth,/tuːθ/,牙齿（pl. teeth）,I brush my teeth twice a day.
七年级上册U6,duty,/ˈdjuːti/,值班；职责,Who is on duty today?
七年级上册U6,usually,/ˈjuːʒuəli/,通常地；一般地,I usually get up at 6.
七年级上册U6,reporter,/rɪˈpɔːtə(r)/,记者,She is a TV reporter.
七年级上册U6,around,/əˈraʊnd/,大约；环绕；到处,He walks around the school.
七年级上册U6,homework,/ˈhəʊmwɜːk/,家庭作业,I do my homework every day.
七年级上册U6,saying,/ˈseɪɪŋ/,谚语；格言,There is a saying.
七年级上册U6,rise,/raɪz/,起床；升起；增长,The sun rises in the east.
七年级上册U6,stay,/steɪ/,停留；待,Stay at home on weekends.
七年级上册U6,routine,/ruːˈtiːn/,常规,This is my daily routine.
七年级上册U6,restaurant,/ˈrestrɒnt/,餐馆；餐厅,Let's eat in the restaurant.
七年级上册U6,housework,/ˈhaʊswɜːk/,家务劳动,I help with housework.
七年级上册U6,while,/waɪl/,一段时间；在……期间,He reads while I write.
七年级上册U6,weekend,/ˌwiːkˈend/,周末,What do you do on weekends?
七年级上册U6,daily,/ˈdeɪli/,每日的；日常的,This is my daily life.
七年级上册U6,only,/ˈəʊnli/,只；仅,I only have one sister.
七年级上册U6,break,/breɪk/,休息；间断；（使）破碎,We have a break at 10 am.
七年级上册U6,Finnish,/ˈfɪnɪʃ/,芬兰语；芬兰的,He speaks Finnish.
七年级上册U6,finish,/ˈfɪnɪʃ/,结束；完成,I finish my homework at 8 pm.
七年级上册U6,already,/ɔːlˈredi/,已经；早已,It is already 5 o'clock.
七年级上册U6,dark,/dɑːk/,昏暗的；深色的,It is dark outside.
七年级上册U6,outside,/ˌaʊtˈsaɪd/,在外面；在……外面,Don't go outside alone.
七年级上册U6,prepare,/prɪˈpeə(r)/,把……准备好；准备,Prepare for the test.
七年级上册U7,celebrate,/ˈselɪbreɪt/,庆祝；庆贺,We celebrate Christmas.
七年级上册U7,surprise,/səˈpraɪz/,惊奇；惊讶；使感到意外,What a surprise!
七年级上册U7,something,/ˈsʌmθɪŋ/,某事；某物,I want something to eat.
七年级上册U7,sale,/seɪl/,出售；销售,The shirt is on sale.
七年级上册U7,kilo,/ˈkiːləʊ/,千克；公斤,Two kilos of apples please.
七年级上册U7,yogurt,/ˈjɒɡət/,酸奶,I like yogurt for breakfast.
七年级上册U7,total,/ˈtəʊtl/,总数；合计；总的,The total is 100 yuan.
七年级上册U7,price,/praɪs/,价格,The price is reasonable.
七年级上册U7,balloon,/bəˈluːn/,气球,There are balloons at the party.
七年级上册U7,chocolate,/ˈtʃɒklət/,巧克力,I love chocolate.
七年级上册U7,pizza,/ˈpiːtsə/,比萨饼,Let's have pizza for lunch.
七年级上册U7,list,/lɪst/,列表；名单；清单,Make a shopping list.
七年级上册U7,own,/əʊn/,自己的；本人的,This is my own room.
七年级上册U7,example,/ɪɡˈzɑːmpl/,例子；范例,For example he is tall.
七年级上册U7,language,/ˈlæŋɡwɪdʒ/,语言,English is a useful language.
七年级上册U7,international,/ˌɪntəˈnæʃnəl/,国际的,China has many international friends.
七年级上册U7,mark,/mɑːk/,做记号；纪念；记号,Mark the date on your calendar.
七年级上册U7,national,/ˈnæʃnəl/,国家的；民族的,National Day is on October 1st.
七年级上册U7,found,/faʊnd/,创建；创立,The school was found in 1900.
七年级上册U7,meaningful,/ˈmiːnɪŋfl/,重要的；重大的,This is a meaningful activity.
七年级上册U7,village,/ˈvɪlɪdʒ/,村庄；村镇,He lives in a small village.
七年级上册U7,grow,/ɡrəʊ/,成长；长大；增长,I want to grow up.
七年级上册U7,blow,/bləʊ/,吹；刮,Blow out the candles.
七年级上册U7,enjoy,/ɪnˈdʒɔɪ/,享受……的乐趣；喜欢,I enjoy reading books.
七年级上册U7,height,/haɪt/,身高；高度,What is your height?
七年级上册U7,later,/ˈleɪtə(r)/,以后（的）；后来（的）,See you later!
七年级上册U7,whom,/huːm/,谁；什么人,Whom did you meet?
七年级上册U1,telephone,/ˈtelɪfəʊn/,电话,What's your telephone number?
七年级上册U1,number,/ˈnʌmbə(r/,号码；数字,My phone number is 123456.
七年级上册U1,meet,/miːt/,遇见；结识,Nice to meet you!
七年级上册U1,name,/neɪm/,名字,My name is Tom.
七年级上册U1,fine,/faɪn/,好的,How are you? I'm fine.
七年级上册U1,thanks,/θæŋks/,感谢,Thanks for your help.
七年级上册U1,favorite,/ˈfeɪvərɪt/,最喜爱的,My favorite color is blue.
七年级上册U1,student,/ˈstjuːdnt/,学生,I am a student.
七年级上册U1,teacher,/ˈtiːtʃə(r)/,老师,Miss Li is my English teacher.
七年级上册U1,school,/skuːl/,学校,I go to school by bus.
七年级上册U2,family,/ˈfæməli/,家庭；家人,This is my family photo.
七年级上册U2,mother,/ˈmʌðə(r)/,母亲；妈妈,My mother cooks well.
七年级上册U2,father,/ˈfɑːðə(r)/,父亲；爸爸,My father is tall.
七年级上册U2,parent,/ˈpeərənt/,父亲或母亲,My parents love me.
七年级上册U2,sister,/ˈsɪstə(r)/,姐妹,My sister is younger.
七年级上册U2,brother,/ˈbrʌðə(r)/,兄弟,He is my little brother.
七年级上册U2,grandmother,/ˈɡrænmʌðə(r)/,祖母；奶奶,My grandmother is kind.
七年级上册U2,grandfather,/ˈɡrænfɑːðə(r)/,祖父；爷爷,My grandfather is 70.
七年级上册U2,grandparent,/ˈɡrænpeərənt/,祖父或祖母,My grandparents live with us.
七年级上册U2,those,/ðəʊz/,那些,Those are my friends.
七年级上册U2,these,/ðiːz/,这些,These are my books.
七年级上册U2,who,/huː/,谁,Who is that girl?
七年级上册U2,they,/ðeɪ/,他（她；它）们,They are students.
七年级上册U2,well,/wel/,嗯；好吧,Well let's go now.
七年级上册U2,have,/hæv/,有；经受,I have a new bike.
七年级上册U2,day,/deɪ/,一天；一日,Have a nice day!
七年级上册U2,bye,/baɪ/,再见,Bye bye!
七年级上册U3,pencil,/ˈpensl/,铅笔,This is my pencil.
七年级上册U3,book,/bʊk/,书,Open your book.
七年级上册U3,ruler,/ˈruːlə(r)/,尺；直尺,I need a ruler.
七年级上册U3,schoolbag,/ˈskuːlbæɡ/,书包,My schoolbag is heavy.
七年级上册U3,dictionary,/ˈdɪkʃənri/,词典；字典,Look it up in a dictionary.
七年级上册U3,yours,/jɔːz/,你的；你们的,This pen is yours.
七年级上册U3,mine,/maɪn/,我的,That book is mine.
七年级上册U3,thank,/θæŋk/,感谢,Thank you very much.
七年级上册U3,help,/help/,帮助；援助,Can I help you?
七年级上册U4,where,/weə(r)/,在哪里,Where is my pen?
七年级上册U4,room,/ruːm/,房间,My room is tidy.
七年级上册U4,bed,/bed/,床,Go to bed early.
七年级上册U4,sofa,/ˈsəʊfə/,沙发,The cat is on the sofa.
七年级上册U4,chair,/tʃeə(r)/,椅子,Sit on the chair.
七年级上册U4,desk,/desk/,书桌,The book is on the desk.
七年级上册U4,under,/ˈʌndə(r)/,在……下,The ball is under the bed.
七年级上册U4,on,/ɒn/,在……上,The pen is on the desk.
七年级上册U4,in,/ɪn/,在……里,The pencil is in the box.
七年级上册U4,come,/kʌm/,来；来到,Come here please!
七年级上册U4,go,/ɡəʊ/,去；走,Let's go home.
七年级上册U4,think,/θɪŋk/,认为；想；思考,I think you are right.
七年级上册U4,always,/ˈɔːlweɪz/,总是,He is always happy.
七年级上册U5,play,/pleɪ/,玩；打（球）,Let's play basketball.
七年级上册U5,watch,/wɒtʃ/,观看,We watch TV in the evening.
七年级上册U5,great,/ɡreɪt/,极好的；伟大的,That sounds great!
七年级上册U5,sport,/spɔːt/,运动,Basketball is my favorite sport.
七年级上册U5,fun,/fʌn/,有趣的；令人愉快的,We have fun together!
七年级上册U5,boring,/ˈbɔːrɪŋ/,无聊的,The movie is boring.
七年级上册U5,difficult,/ˈdɪfɪkəlt/,困难的,Math is difficult.
七年级上册U5,easy,/ˈiːzi/,容易的,The test is easy.
七年级上册U5,relaxing,/rɪˈlæksɪŋ/,轻松的；令人放松的,The music is relaxing.
七年级上册U5,soccer,/ˈsɒkə(r)/,英式足球,Let's play soccer.
七年级上册U5,basketball,/ˈbɑːskɪtbɔːl/,篮球,I like playing basketball.
七年级上册U5,volleyball,/ˈvɒlɪbɔːl/,排球,She plays volleyball well.
七年级上册U6,banana,/bəˈnɑːnə/,香蕉,I like bananas.
七年级上册U6,hamburger,/ˈhæmbɜːɡə(r)/,汉堡包,He eats a hamburger.
七年级上册U6,tomato,/təˈmɑːtəʊ/,西红柿,Tomatoes are healthy.
七年级上册U6,salad,/ˈsæləd/,沙拉,I have salad for lunch.
七年级上册U6,strawberry,/ˈstrɔːbəri/,草莓,These strawberries are sweet.
七年级上册U6,ice-cream,/ˌaɪs ˈkriːm/,冰淇淋,Ice-cream is delicious.
七年级上册U6,egg,/eɡ/,鸡蛋,I eat an egg for breakfast.
七年级上册U6,rice,/raɪs/,米饭；稻米,We eat rice for dinner.
七年级上册U6,chicken,/ˈtʃɪkɪn/,鸡；鸡肉,Chicken is delicious.
七年级上册U6,food,/fuːd/,食物,I like Chinese food.
七年级上册U6,fruit,/fruːt/,水果,Fruit is good for health.
七年级上册U6,vegetable,/ˈvedʒtəbl/,蔬菜,Eat more vegetables.
七年级上册U6,healthy,/ˈhelθi/,健康的,We should eat healthy food.
七年级上册U6,breakfast,/ˈbrekfəst/,早餐,I have breakfast at 7.
七年级上册U6,lunch,/lʌntʃ/,午餐,School lunch is at 12.
七年级上册U6,dinner,/ˈdɪnə(r)/,晚餐；正餐,We have dinner at 7 pm.
七年级上册U7,sock,/sɒk/,短袜,I need a pair of socks.
七年级上册U7,shirt,/ʃɜːt/,衬衫,This shirt is white.
七年级上册U7,T-shirt,/ˈtiː ʃɜːt/,T恤衫,He wears a blue T-shirt.
七年级上册U7,shorts,/ʃɔːts/,短裤,These shorts are on sale.
七年级上册U7,sweater,/ˈswetə(r)/,毛衣,The sweater is warm.
七年级上册U7,shoe,/ʃuː/,鞋,My shoes are new.
七年级上册U7,skirt,/skɜːt/,裙子,She has a red skirt.
七年级上册U7,dollar,/ˈdɒlə(r)/,元,It's five dollars.
七年级上册U7,big,/bɪɡ/,大的,The store is big.
七年级上册U7,small,/smɔːl/,小的；少量的,This hat is too small.
七年级上册U7,long,/lɒŋ/,长的,The river is long.
七年级上册U7,short,/ʃɔːt/,短的；矮的,He is short.
七年级上册U7,buy,/baɪ/,买,I want to buy a gift.
七年级上册U7,sell,/sel/,卖；出售,The store sells clothes.
七年级上册U7,clothes,/kləʊðz/,衣服；服装,I like these clothes.
七年级上册U7,store,/stɔː(r)/,商店,Let's go to the store.
七年级上册U7,January,/ˈdʒænjuəri/,一月,My birthday is in January.
七年级上册U7,February,/ˈfebruəri/,二月,February is cold.
七年级上册U7,March,/mɑːtʃ/,三月,Spring comes in March.
七年级上册U7,April,/ˈeɪprəl/,四月,April is warm.
七年级上册U7,May,/meɪ/,五月,I love May.
七年级上册U7,June,/dʒuːn/,六月,June is hot.
七年级上册U7,July,/dʒuˈlaɪ/,七月,School ends in July.
七年级上册U7,August,/ˈɔːɡəst/,八月,August is summer.
七年级上册U7,September,/sepˈtembə(r)/,九月,School starts in September.
七年级上册U7,October,/ɒkˈtəʊbə(r)/,十月,October is cool.
七年级上册U7,November,/nəʊˈvembə(r)/,十一月,November is autumn.
七年级上册U7,December,/dɪˈsembə(r)/,十二月,December is cold.
七年级上册U7,party,/ˈpɑːti/,聚会,We have a birthday party.
七年级上册U7,age,/eɪdʒ/,年龄,What is your age?
七年级上册U7,happy,/ˈhæpi/,愉快的；高兴的,I am happy today.
七年级上册U7,month,/mʌnθ/,月份,There are 12 months in a year.
七年级上册U7,old,/əʊld/,老的；旧的,He is 12 years old.
七年级上册U1,hello,/həˈləʊ/,你好,Hello everyone!
七年级上册U1,please,/pliːz/,请,Please sit down.
七年级上册U1,how,/haʊ/,怎样；如何,How are you?
七年级上册U1,what,/wɒt/,什么,What's your name?
七年级上册U1,this,/ðɪs/,这；这个,This is my pen.
七年级上册U1,that,/ðæt/,那；那个,That is my book.
七年级上册U2,aunt,/ɑːnt/,姑母；姨母；阿姨,My aunt is kind.
七年级上册U2,uncle,/ˈʌŋkl/,叔父；舅父；叔叔,My uncle is tall.
七年级上册U2,cousin,/ˈkʌzn/,堂兄弟；表姐妹,My cousin is my age.
七年级上册U2,daughter,/ˈdɔːtə(r)/,女儿,Their daughter is 5.
七年级上册U2,photo,/ˈfəʊtəʊ/,照片,Take a photo.
七年级上册U2,dog,/dɒɡ/,狗,The dog is cute.
七年级上册U3,pen,/pen/,钢笔,I have a red pen.
七年级上册U3,bag,/bæɡ/,包；袋,This is my bag.
七年级上册U3,map,/mæp/,地图,Look at the map.
七年级上册U3,clock,/klɒk/,时钟,The clock is on the wall.
七年级上册U3,library,/ˈlaɪbrəri/,图书馆,I read in the library.
七年级上册U4,table,/ˈteɪbl/,桌子,The book is on the table.
七年级上册U4,radio,/ˈreɪdiəʊ/,收音机,Listen to the radio.
七年级上册U4,model,/ˈmɒdl/,模型；模特,The model plane is cool.
七年级上册U4,plane,/pleɪn/,飞机,The model plane is on the desk.
七年级上册U4,tidy,/ˈtaɪdi/,整洁的；井井有条的,My room is tidy.
七年级上册U4,but,/bʌt/,但是,It's small but tidy.
七年级上册U5,class,/klɑːs/,班级；课,We have English class.
七年级上册U5,game,/ɡeɪm/,游戏；比赛,The game is interesting.
七年级上册U5,team,/tiːm/,队；组,We are on the same team.
七年级上册U6,apple,/ˈæpl/,苹果,An apple a day keeps the doctor away.
七年级上册U6,pear,/peə(r)/,梨,I like pears.
七年级上册U6,orange,/ˈɒrɪndʒ/,橙子；橙色的,Oranges are juicy.
七年级上册U6,question,/ˈkwestʃən/,问题,Answer the question.
七年级上册U6,star,/stɑː(r)/,明星；星星,He is a basketball star.
七年级上册U6,well,/wel/,好地；健康地,Eat well and stay healthy.
七年级上册U7,nice,/naɪs/,好的；令人愉快的,It's a nice day.
七年级上册U7,woman,/ˈwʊmən/,女人；女士,The woman is tall.
七年级上册U7,man,/mæn/,男人,The man is strong.
七年级上册U7,pair,/peə(r)/,一对；一双,A pair of shoes.
七年级上册U7,take,/teɪk/,买下；拿走,I'll take it!
七年级上册U7,here,/hɪə(r)/,在这里,Here you are.
七年级上册U7,can,/kæn/,能；可以,Can I help you?
七年级上册U1,am,/æm/,是,I am a student.
七年级上册U1,yes,/jes/,是；是的,Yes I am.
七年级上册U1,no,/nəʊ/,不；不是,No it isn't.
七年级上册U1,not,/nɒt/,不；没有,It is not my book.
七年级上册U1,zero,/ˈzɪərəʊ/,零,My number has a zero.
七年级上册U1,one,/wʌn/,一,I have one book.
七年级上册U1,two,/tuː/,二,Two pens.
七年级上册U1,three,/θriː/,三,Three apples.
七年级上册U1,four,/fɔː(r)/,四,Four chairs.
七年级上册U1,five,/faɪv/,五,Five fingers.
七年级上册U1,six,/sɪks/,六,Six books.
七年级上册U1,seven,/ˈsevn/,七,Seven days.
七年级上册U1,eight,/eɪt/,八,Eight desks.
七年级上册U1,nine,/naɪn/,九,Nine pencils.
七年级上册U1,ten,/ten/,十,Ten students.
七年级上册U1,hi,/haɪ/,嗨；喂,Hi! How are you?
七年级上册U2,good,/ɡʊd/,好的,Good morning!
七年级上册U2,morning,/ˈmɔːnɪŋ/,早晨；上午,Good morning class!
七年级上册U2,afternoon,/ˌɑːftəˈnuːn/,下午,Good afternoon!
七年级上册U2,evening,/ˈiːvnɪŋ/,傍晚；晚上,Good evening!
七年级上册U2,nice,/naɪs/,令人愉快的,Nice to meet you!
七年级上册U2,meet,/miːt/,遇见,Nice to meet you!
七年级上册U2,too,/tuː/,也；太,Nice to meet you too!
七年级上册U3,your,/jɔː(r)/,你的；你们的,Is this your pen?
七年级上册U3,his,/hɪz/,他的,His book is new.
七年级上册U3,hers,/hɜːz/,她的,This pen is hers.
七年级上册U3,excuse,/ɪkˈskjuːz/,原谅；抱歉,Excuse me!
七年级上册U3,me,/miː/,我（宾格）,Excuse me.
七年级上册U3,thank,/θæŋk/,感谢,Thank you.
七年级上册U3,teacher,/ˈtiːtʃə(r)/,老师,She is a teacher.
七年级上册U3,about,/əˈbaʊt/,关于,What about this one?
七年级上册U4,they,/ðeɪ/,他（她；它）们,They are on the table.
七年级上册U4,your,/jɔː(r)/,你的；你们的,Your room is tidy.
七年级上册U4,hat,/hæt/,帽子,Where is my hat?
七年级上册U4,head,/hed/,头,The hat is on my head.
七年级上册U4,know,/nəʊ/,知道；了解,I know where it is.
七年级上册U5,let,/let/,让,Let's go!
七年级上册U5,us,/ʌs/,我们（宾格）,Let us play.
七年级上册U5,late,/leɪt/,迟到；晚的,Don't be late.
七年级上册U5,has,/hæz/,有（第三人称单数）,He has a ball.
七年级上册U5,get,/ɡet/,得到；到达,Get the ball.
七年级上册U5,only,/ˈəʊnli/,只；仅,I only have one.
七年级上册U5,like,/laɪk/,喜欢,I like sports.
七年级上册U6,like,/laɪk/,喜欢,Do you like bananas?
七年级上册U6,don't,/dəʊnt/,不（do not缩写）,I don't like hamburgers.
七年级上册U6,really,/ˈriːəli/,真正地,I really like ice-cream.
七年级上册U6,sure,/ʃɔː(r)/,当然；确实,Sure I do.
七年级上册U6,how,/haʊ/,怎么样,How about some fruit?
七年级上册U6,let's,/lets/,让我们,Let's have apples.
七年级上册U7,much,/mʌtʃ/,多；大量,How much is it?
