年级单元,单词,音标,释义,例句
八年级上册U1,fight,/faɪt/,战斗；搏斗,Don't fight with others.
八年级上册U1,against,/əˈɡenst/,反对；与……相反,We are against the plan.
八年级上册U1,artwork,/ˈɑːtwɜːk/,艺术作品；插图,The artwork is beautiful.
八年级上册U1,tear,/tɪə(r)/,眼泪；泪水,She wiped away her tears.
八年级上册U1,remind,/rɪˈmaɪnd/,提醒；使想起,Please remind me to buy milk.
八年级上册U1,peace,/piːs/,和平；太平,We all want peace.
八年级上册U1,easily,/ˈiːzəli/,容易地；轻易地,I can finish it easily.
八年级上册U1,forget,/fəˈɡet/,忘记；遗忘,Don't forget your keys.
八年级上册U1,noon,/nuːn/,正午；中午,We eat lunch at noon.
八年级上册U1,sick,/sɪk/,恶心的；生病的,She feels sick.
八年级上册U1,metro,/ˈmetrəʊ/,地下铁道系统,Take the metro to the museum.
八年级上册U1,station,/ˈsteɪʃn/,车站；所；局,The train station is big.
八年级上册U1,palace,/ˈpæləs/,王宫；宫殿,The palace is very old.
八年级上册U1,tower,/ˈtaʊə(r)/,塔；塔楼,We climbed the tower.
八年级上册U1,might,/maɪt/,可能；可以,I might go shopping.
八年级上册U1,budget,/ˈbʌdʒɪt/,预算；精打细算,We have a tight budget.
八年级上册U1,passport,/ˈpɑːspɔːt/,护照,Don't forget your passport.
八年级上册U1,faraway,/ˈfɑːrəweɪ/,远方的；遥远的,He lives in a faraway village.
八年级上册U1,regular,/ˈreɡjələ(r)/,平常的；有规律的,Exercise is a regular habit.
八年级上册U1,countryside,/ˈkʌntrisaɪd/,乡村；农村,I love the countryside.
八年级上册U1,deer,/dɪə(r)/,鹿（单复数同形）,Deer live in the forest.
八年级上册U1,probably,/ˈprɒbəbli/,很可能；大概,He will probably come.
八年级上册U2,pack,/pæk/,打包；收拾,Pack your bags.
八年级上册U2,bathroom,/ˈbɑːθruːm/,浴室；洗手间,Where is the bathroom?
八年级上册U2,sort,/sɔːt/,把……分类；整理；种类,Sort the books by subject.
八年级上册U2,bedroom,/ˈbedruːm/,卧室,My bedroom is tidy.
八年级上册U2,balcony,/ˈbælkəni/,阳台,We sit on the balcony.
八年级上册U2,invite,/ɪnˈvaɪt/,邀请,I invite you to my party.
八年级上册U2,living room,,客厅,The family is in the living room.
八年级上册U2,arrival,/əˈraɪvl/,到达,Welcome to Beijing on your arrival.
八年级上册U2,yet,/jet/,还；但是,I haven't finished yet.
八年级上册U2,add,/æd/,添加；加,Add some sugar please.
八年级上册U2,biscuit,/ˈbɪskɪt/,饼干,Do you want a biscuit?
八年级上册U2,borrow,/ˈbɒrəʊ/,借,Can I borrow your pen?
八年级上册U2,plan,/plæn/,计划；打算,We plan to go hiking.
八年级上册U2,treasure,/ˈtreʒə(r)/,宝物；财富；珍视,The treasure is hidden.
八年级上册U2,hunt,/hʌnt/,搜寻；打猎,They hunt for food.
八年级上册U2,lift,/lɪft/,搭便车；电梯；举起,Take the lift to the 5th floor.
八年级上册U2,until,/ənˈtɪl/,直到……为止,Wait until I come back.
八年级上册U2,movie,/ˈmuːvi/,电影,Let's watch a movie tonight.
八年级上册U2,dead,/ded/,不运行的；死的,The phone is dead.
八年级上册U2,note,/nəʊt/,笔记；便条；注意,Take notes in class.
八年级上册U2,community,/kəˈmjuːnəti/,社区；社团,Our community has a park.
八年级上册U2,rubbish,/ˈrʌbɪʃ/,垃圾,Take out the rubbish.
八年级上册U2,almost,/ˈɔːlməʊst/,差不多；几乎,It's almost 12 o'clock.
八年级上册U2,journey,/ˈdʒɜːni/,旅行；历程,The journey took 3 hours.
八年级上册U2,pull,/pʊl/,拉；拖；拽,Pull the door open.
八年级上册U2,luggage,/ˈlʌɡɪdʒ/,行李,My luggage is heavy.
八年级上册U2,familiar,/fəˈmɪliə(r)/,熟悉的,This song sounds familiar.
八年级上册U2,joke,/dʒəʊk/,笑话；开玩笑,He told a funny joke.
八年级上册U2,several,/ˈsevrəl/,几个；一些,Several students are late.
八年级上册U2,nod,/nɒd/,点头,She nodded to agree.
八年级上册U2,writer,/ˈraɪtə(r)/,作者,He is a famous writer.
八年级上册U2,text,/tekst/,正文；文本；发短信,Read the text carefully.
八年级上册U2,describe,/dɪˈskraɪb/,描述；形容,Describe your favorite animal.
八年级上册U2,wherever,/weərˈevə(r)/,无论去哪里,Wherever you go I will follow.
八年级上册U2,matter,/ˈmætə(r)/,要紧；问题,What's the matter?
八年级上册U2,perhaps,/pəˈhæps/,也许；可能,Perhaps he is right.
八年级上册U2,plate,/pleɪt/,盘子；碟子,Wash the plates.
八年级上册U2,smell,/smel/,闻到；气味,The food smells good.
八年级上册U2,joy,/dʒɔɪ/,喜悦；乐趣,The children are full of joy.
八年级上册U2,apartment,/əˈpɑːtmənt/,公寓套房,She lives in an apartment.
八年级上册U2,block,/blɒk/,大楼；街区；阻挡,Walk two blocks.
八年级上册U2,decorate,/ˈdekəreɪt/,装饰；装潢,We decorate the room.
八年级上册U2,cover,/ˈkʌvə(r)/,遮盖；遮盖物；封皮,Cover the book.
八年级上册U2,poster,/ˈpəʊstə(r)/,海报,They made a poster.
八年级上册U2,scissors,/ˈsɪzəz/,剪刀,Be careful with the scissors.
八年级上册U2,glue,/ɡluː/,胶水；粘贴,Glue the paper together.
八年级上册U3,compare,/kəmˈpeə(r)/,比较；对比,Compare these two pictures.
八年级上册U3,shy,/ʃaɪ/,害羞的,She is shy with strangers.
八年级上册U3,lazy,/ˈleɪzi/,懒惰的,Don't be lazy!
八年级上册U3,loud,/laʊd/,大声的（地）,Please speak louder.
八年级上册U3,outgoing,/ˌaʊtˈɡəʊɪŋ/,外向的,She is outgoing and friendly.
八年级上册U3,hard-working,/ˌhɑːd ˈwɜːkɪŋ/,勤奋的,He is a hard-working student.
八年级上册U3,perform,/pəˈfɔːm/,表演；执行,She performed a dance.
八年级上册U3,alone,/əˈləʊn/,独自；单独,He lives alone.
八年级上册U3,solve,/sɒlv/,解决；解答,Can you solve this problem?
八年级上册U3,flute,/fluːt/,长笛,She plays the flute.
八年级上册U3,congratulation,/kənˌɡrætʃuˈleɪʃn/,祝贺；恭喜,Congratulations on your success!
八年级上册U3,prize,/praɪz/,奖；奖励,She won first prize.
八年级上册U3,attend,/əˈtend/,参加；出席,He attends the meeting.
八年级上册U3,besides,/bɪˈsaɪdz/,除……之外（还）,Besides English I like math.
八年级上册U3,spare,/speə(r)/,空闲的；抽出,What do you do in your spare time?
八年级上册U3,pleasure,/ˈpleʒə(r)/,乐事；愉快；荣幸,It's my pleasure.
八年级上册U3,appearance,/əˈpɪərəns/,外表；露面,Don't judge by appearance.
八年级上册U3,personality,/ˌpɜːsəˈnæləti/,性格；品质,She has a nice personality.
八年级上册U3,serious,/ˈsɪəriəs/,严肃的；严重的,He looks very serious.
八年级上册U3,strength,/streŋθ/,优势；力量,Everyone has their own strengths.
八年级上册U3,slim,/slɪm/,苗条的；薄的,She is tall and slim.
八年级上册U3,fact,/fækt/,事实；现实,In fact I don't know.
八年级上册U3,population,/ˌpɒpjuˈleɪʃn/,人口,China has a large population.
八年级上册U3,average,/ˈævərɪdʒ/,平均的；平均数,The average score is 80.
八年级上册U3,pleasant,/ˈpleznt/,宜人的；友好的,The weather is pleasant.
八年级上册U3,difference,/ˈdɪfrəns/,差异,There is a big difference.
八年级上册U3,alike,/əˈlaɪk/,相像的；相似地,The twins look alike.
八年级上册U3,mirror,/ˈmɪrə(r)/,镜子,Look in the mirror.
八年级上册U3,interest,/ˈɪntrəst/,业余爱好；兴趣；使感兴趣,He has many interests.
八年级上册U3,novel,/ˈnɒvl/,小说,I am reading a novel.
八年级上册U3,sense,/sens/,理解力；感觉,He has a good sense of humor.
八年级上册U3,humour,/ˈhjuːmə(r)/,幽默；幽默感,She has a great sense of humour.
八年级上册U3,opinion,/əˈpɪnjən/,看法；意见,In my opinion you are right.
八年级上册U3,honesty,/ˈɒnɪsti/,诚实；正直,Honesty is the best policy.
八年级上册U3,direct,/dəˈrekt/,率直的；直接的,Give me a direct answer.
八年级上册U3,similarity,/ˌsɪməˈlærəti/,相似之处,There are many similarities.
八年级上册U3,friendship,/ˈfrendʃɪp/,友谊；友情,Friendship is important.
八年级上册U3,exchange,/ɪksˈtʃeɪndʒ/,交换,We exchange gifts.
八年级上册U3,accident,/ˈæksɪdənt/,意外；（交通）事故,There was a car accident.
八年级上册U3,expect,/ɪkˈspekt/,预料；期待,I expect you to come.
八年级上册U3,reach,/riːtʃ/,伸手；到达,Can you reach the shelf?
八年级上册U3,touch,/tʌtʃ/,触动；触碰,Don't touch the painting.
八年级上册U4,moss,/mɒs/,苔藓,The rock is covered with moss.
八年级上册U4,cheetah,/ˈtʃiːtə/,猎豹,The cheetah runs very fast.
八年级上册U4,bamboo,/ˌbæmˈbuː/,竹；竹子,Pandas eat bamboo.
八年级上册U4,popular,/ˈpɒpjələ(r)/,广受欢迎的；流行的,This song is very popular.
八年级上册U4,tool,/tuːl/,工具；手段,This tool is useful.
八年级上册U4,actually,/ˈæktʃuəli/,实际上；居然,Actually I don't know.
八年级上册U4,shoot,/ʃuːt/,幼苗；射击,The plant has new shoots.
八年级上册U4,appear,/əˈpɪə(r)/,出现；看来好像,He appeared suddenly.
八年级上册U4,land,/lænd/,陆地；降落,The plane landed safely.
八年级上册U4,African,/ˈæfrɪkən/,非洲的；非洲人,African wildlife is amazing.
八年级上册U4,rose,/rəʊz/,玫瑰；蔷薇,She gave me a red rose.
八年级上册U4,butterfly,/ˈbʌtəflaɪ/,蝴蝶,The butterfly has colorful wings.
八年级上册U4,wing,/wɪŋ/,翅膀；翼,Birds have two wings.
八年级上册U4,frog,/frɒɡ/,蛙；青蛙,Frogs can jump high.
八年级上册U4,weigh,/weɪ/,有……重；称重量,I weigh 50 kilos.
八年级上册U4,believe,/bɪˈliːv/,相信；认为有可能,I believe you.
八年级上册U4,province,/ˈprɒvɪns/,省份,Sichuan is a province.
八年级上册U4,connect,/kəˈnekt/,关联；连接,Connect the dots.
八年级上册U4,without,/wɪˈðaʊt/,没有；缺乏,We can't live without water.
八年级上册U4,imagine,/ɪˈmædʒɪn/,想象；猜想,Imagine you are a bird.
八年级上册U4,honey,/ˈhʌni/,蜂蜜,Bees make honey.
八年级上册U4,disappointed,/ˌdɪsəˈpɔɪntɪd/,失望的；沮丧的,I am disappointed with the result.
八年级上册U4,connection,/kəˈnekʃn/,联系；连接,There is a connection between them.
八年级上册U4,pollination,/ˌpɒləˈneɪʃn/,授粉,Bees help with pollination.
八年级上册U4,action,/ˈækʃn/,行动；行为,Take action now!
八年级上册U4,planet,/ˈplænɪt/,行星,The Earth is our planet.
八年级上册U4,store,/stɔː(r)/,贮存；商店,We store food in the fridge.
八年级上册U4,communicate,/kəˈmjuːnɪkeɪt/,交流；沟通,We communicate by email.
八年级上册U4,ecosystem,/ˈiːkəʊsɪstəm/,生态系统,The forest is an ecosystem.
八年级上册U4,protect,/prəˈtekt/,保护；防护,We must protect the environment.
八年级上册U4,importance,/ɪmˈpɔːtns/,重要性,Education is of great importance.
八年级上册U4,title,/ˈtaɪtl/,标题；题目,What's the title of the book?
八年级上册U4,human,/ˈhjuːmən/,人；人类的,We are all human.
八年级上册U4,ant,/ænt/,蚂蚁,Ants are hard-working.
八年级上册U4,happiness,/ˈhæpinəs/,幸福；快乐,Happiness is important.
八年级上册U4,mushroom,/ˈmʌʃrʊm/,蘑菇,Some mushrooms are poisonous.
八年级上册U4,ton,/tʌn/,吨,The elephant weighs a ton.
八年级上册U4,role,/rəʊl/,作用；职能；角色,He plays an important role.
八年级上册U4,climate,/ˈklaɪmət/,气候,The climate is changing.
八年级上册U4,ocean,/ˈəʊʃn/,大海；海洋,The ocean is very deep.
八年级上册U4,except,/ɪkˈsept/,除……之外,Everyone except Tom is here.
八年级上册U4,tiny,/ˈtaɪni/,极小的；微小的,The baby's fingers are tiny.
八年级上册U4,lively,/ˈlaɪvli/,精力充沛的；生机勃勃的,The market is lively.
八年级上册U5,pepper,/ˈpepə(r)/,胡椒粉；菜椒,Add some pepper to the dish.
八年级上册U5,mix,/mɪks/,（使）混合；混合料,Mix the ingredients together.
八年级上册U5,bake,/beɪk/,烘焙,My mom bakes bread.
八年级上册U5,oven,/ˈʌvn/,烤箱；烤炉,Put the cake in the oven.
八年级上册U5,boil,/bɔɪl/,煮沸；烧开,Boil the water first.
八年级上册U5,flour,/ˈflaʊə(r)/,面粉,We need flour to make bread.
八年级上册U5,butter,/ˈbʌtə(r)/,黄油,Spread butter on the toast.
八年级上册U5,cheese,/tʃiːz/,奶酪；干酪,I like cheese on my pizza.
八年级上册U5,dream,/driːm/,梦想；做梦,I dream of becoming a doctor.
八年级上册U5,university,/ˌjuːnɪˈvɜːsəti/,（综合性）大学,She goes to university next year.
八年级上册U5,memory,/ˈmeməri/,回忆；记忆,I have good memories of childhood.
八年级上册U5,pumpkin,/ˈpʌmpkɪn/,南瓜,We made pumpkin pie.
八年级上册U5,pie,/paɪ/,果馅饼；肉馅饼,Apple pie is delicious.
八年级上册U5,college,/ˈkɒlɪdʒ/,学院；大学,He studies at college.
八年级上册U5,host,/həʊst/,主人；主办,The host welcomed us.
八年级上册U5,recipe,/ˈresəpi/,食谱；烹饪法,Follow this recipe.
八年级上册U5,cream,/kriːm/,奶油,Add some cream to the coffee.
八年级上册U5,mixture,/ˈmɪkstʃə(r)/,混合物,Stir the mixture well.
八年级上册U5,least,/liːst/,最小；最少,At least try your best.
八年级上册U5,secret,/ˈsiːkrət/,诀窍；秘密,Keep it a secret.
八年级上册U5,whenever,/wenˈevə(r)/,每当,Whenever you come I'm happy.
八年级上册U5,spaghetti,/spəˈɡeti/,意大利细面条,We had spaghetti for dinner.
八年级上册U5,spoon,/spuːn/,一勺的量；勺,Use a spoon to stir.
八年级上册U5,slice,/slaɪs/,薄片；切片,Slice the bread please.
八年级上册U5,couple,/ˈkʌpl/,夫妻；两人,The couple is walking.
八年级上册U5,island,/ˈaɪlənd/,岛,They live on an island.
八年级上册U5,wife,/waɪf/,妻子,His wife is a teacher.
八年级上册U5,separate,/ˈseprət/,单独的；分开,Separate the white clothes.
八年级上册U5,born,/bɔːn/,出生；天生的,He was born in 2010.
八年级上册U6,yourself,/jɔːˈself/,你自己；您自己,Help yourself!
八年级上册U6,engineer,/ˌendʒɪˈnɪə(r)/,工程师；技师,My uncle is an engineer.
八年级上册U6,fashion,/ˈfæʃn/,时装业；时尚,She is interested in fashion.
八年级上册U6,designer,/dɪˈzaɪnə(r)/,设计师,She is a fashion designer.
八年级上册U6,director,/dəˈrektə(r)/,导演；主任；董事,He is a film director.
八年级上册U6,musician,/mjuˈzɪʃn/,音乐家；乐师,He is a great musician.
八年级上册U6,fireman,/ˈfaɪəmən/,消防队员,The fireman saved the child.
八年级上册U6,essay,/ˈeseɪ/,小品文；文章,Write an essay about your dream.
八年级上册U6,classic,/ˈklæsɪk/,经典作品；最优秀的,This book is a classic.
八年级上册U6,literature,/ˈlɪtrətʃə(r)/,文学；文献,I like English literature.
八年级上册U6,athlete,/ˈæθliːt/,运动员,He is a professional athlete.
八年级上册U6,photographer,/fəˈtɒɡrəfə(r)/,摄影师,My uncle is a photographer.
八年级上册U6,painter,/ˈpeɪntə(r)/,画家；油漆匠,Van Gogh is a famous painter.
八年级上册U6,businessman,/ˈbɪznəsmən/,商界人士；企业家,He is a successful businessman.
八年级上册U6,actress,/ˈæktrəs/,女演员,She wants to be an actress.
八年级上册U6,lawyer,/ˈlɔːjə(r)/,律师,She works as a lawyer.
八年级上册U6,law,/lɔː/,法律；法规,Everyone must obey the law.
八年级上册U6,bath,/bɑːθ/,洗澡；浴缸,I take a bath every evening.
八年级上册U6,able,/ˈeɪbl/,能够,I am able to finish on time.
八年级上册U6,stick,/stɪk/,粘贴；枝条；棍,Stick the photo on the card.
八年级上册U6,resolution,/ˌrezəˈluːʃn/,决定；决议,I made a New Year's resolution.
八年级上册U6,achieve,/əˈtʃiːv/,（经过努力）达到；完成,You can achieve your goal.
八年级上册U6,physical,/ˈfɪzɪkl/,身体的；物质的,Physical exercise is good for health.
八年级上册U6,healthily,/ˈhelθɪli/,健康地,Eat healthily and exercise.
八年级上册U6,photography,/fəˈtɒɡrəfi/,摄影,His hobby is photography.
八年级上册U1,wonderful,/ˈwʌndəfəl/,精彩的；绝妙的,The trip was wonderful!
八年级上册U1,anyone,/ˈeniwʌn/,任何人,Did anyone go with you?
八年级上册U1,something,/ˈsʌmθɪŋ/,某事；某物,I bought something special.
八年级上册U1,everyone,/ˈevriwʌn/,每人；人人,Everyone had a good time.
八年级上册U1,myself,/maɪˈself/,我自己,I enjoyed myself.
八年级上册U1,yourself,/jɔːˈself/,你自己,Help yourself!
八年级上册U1,hen,/hen/,母鸡,There were hens on the farm.
八年级上册U1,pig,/pɪɡ/,猪,The pig is pink.
八年级上册U1,bored,/bɔːd/,厌倦的；烦闷的,I was bored.
八年级上册U1,dislike,/dɪsˈlaɪk/,不喜欢,I dislike the food.
八年级上册U1,activity,/ækˈtɪvəti/,活动,We did many activities.
八年级上册U1,meeting,/ˈmiːtɪŋ/,会议,We had a class meeting.
八年级上册U1,organize,/ˈɔːɡənaɪz/,组织,Let's organize a trip.
八年级上册U2,once,/wʌns/,一次,Once a week.
八年级上册U2,twice,/twaɪs/,两次,Twice a month.
八年级上册U2,program,/ˈprəʊɡræm/,节目,TV program.
八年级上册U2,result,/rɪˈzʌlt/,结果,The result of the survey.
八年级上册U2,maybe,/ˈmeɪbi/,大概；也许,Maybe you're right.
八年级上册U2,point,/pɔɪnt/,点；得分,What's your point?
八年级上册U3,outgoing,/ˈaʊtɡəʊɪŋ/,外向的,She is outgoing.
八年级上册U3,better,/ˈbetə(r)/,更好的,He is better at English.
八年级上册U3,loudly,/ˈlaʊdli/,大声地,Speak loudly.
八年级上册U3,quietly,/ˈkwaɪətli/,安静地,She walks quietly.
八年级上册U3,competition,/ˌkɒmpəˈtɪʃn/,比赛；竞赛,He won the competition.
八年级上册U3,fantastic,/fænˈtæstɪk/,极好的,The show was fantastic.
八年级上册U3,though,/ðəʊ/,虽然；尽管,Though he is small he is strong.
八年级上册U3,win,/wɪn/,获胜；赢,Our team won.
八年级上册U3,care,/keə(r)/,关心；在意,She cares about her friends.
八年级上册U4,comfortable,/ˈkʌmftəbl/,舒适的,The sofa is comfortable.
八年级上册U4,screen,/skriːn/,屏幕,The screen is huge.
八年级上册U4,close,/kləʊz/,接近的；关闭,The store is close to my home.
八年级上册U4,cheap,/tʃiːp/,便宜的,This shirt is cheap.
八年级上册U4,choose,/tʃuːz/,选择,Which one do you choose?
八年级上册U4,popular,/ˈpɒpjələ(r)/,受欢迎的,This song is popular.
八年级上册U4,service,/ˈsɜːvɪs/,服务,The service is good.
八年级上册U4,quality,/ˈkwɒləti/,质量,The quality is excellent.
八年级上册U4,meal,/miːl/,一餐,We enjoy a good meal.
八年级上册U5,sitcom,/ˈsɪtkɒm/,情景喜剧,I like sitcoms.
八年级上册U5,news,/njuːz/,新闻,We watch the news.
八年级上册U5,mind,/maɪnd/,介意；智力,Do you mind opening the window?
八年级上册U5,stand,/stænd/,忍受；站立,I can't stand noisy music.
八年级上册U5,educational,/ˌedʒuˈkeɪʃənl/,有教育意义的,The show is educational.
八年级上册U5,action,/ˈækʃn/,动作,I like action movies.
八年级上册U5,culture,/ˈkʌltʃə(r)/,文化,Chinese culture is rich.
八年级上册U5,famous,/ˈfeɪməs/,著名的,He is a famous actor.
八年级上册U5,appear,/əˈpɪə(r)/,出现,He appears in the movie.
八年级上册U5,become,/bɪˈkʌm/,开始变得；变成,She becomes a teacher.
八年级上册U6,grow,/ɡrəʊ/,生长；成长,I want to grow up.
八年级上册U6,cook,/kʊk/,厨师；烹饪,He is a great cook.
八年级上册U6,doctor,/ˈdɒktə(r)/,医生,She wants to be a doctor.
八年级上册U6,engineer,/ˌendʒɪˈnɪə(r)/,工程师,My uncle is an engineer.
八年级上册U6,pilot,/ˈpaɪlət/,飞行员,The pilot flies the plane.
八年级上册U6,scientist,/ˈsaɪəntɪst/,科学家,Many scientists work here.
八年级上册U6,medicine,/ˈmedsn/,医学；药,She studies medicine.
八年级上册U6,send,/send/,发送；邮寄,Please send me a letter.
八年级上册U6,resolution,/ˌrezəˈluːʃn/,决心；决定,I make a New Year's resolution.
