年级单元,单词,音标,释义,例句
七年级下册U2,bring,/brɪŋ/,带来,Bring your book to class.
七年级下册U2,uniform,/ˈjuːnɪfɔːm/,制服,Our school uniforms are blue.
七年级下册U2,quiet,/ˈkwaɪət/,安静的,Please keep quiet.
七年级下册U2,practice,/ˈpræktɪs/,练习,Practice makes perfect.
七年级下册U2,dish,/dɪʃ/,盘；碟,Please wash the dishes.
七年级下册U2,wash,/wɒʃ/,洗,Wash your hands.
七年级下册U2,before,/bɪˈfɔː(r)/,在……以前,Wash your hands before eating.
七年级下册U2,dirty,/ˈdɜːti/,脏的,The room is dirty.
七年级下册U2,kitchen,/ˈkɪtʃɪn/,厨房,Don't eat in the kitchen.
七年级下册U2,noisy,/ˈnɔɪzi/,嘈杂的；喧闹的,The classroom is too noisy.
七年级下册U2,relax,/rɪˈlæks/,放松；休息,Relax and enjoy the music.
七年级下册U2,terrible,/ˈterəbl/,糟糕的；可怕的,The weather is terrible.
七年级下册U2,feel,/fiːl/,感觉；觉得,I feel happy today.
七年级下册U2,strict,/strɪkt/,严格的；严厉的,Our teacher is strict.
七年级下册U2,remember,/rɪˈmembə(r)/,记住；记起,Remember the rules.
七年级下册U2,keep,/kiːp/,保持；保留,Keep the room clean.
七年级下册U2,learn,/lɜːn/,学习；学会,Learn the new words.
七年级下册U2,lucky,/ˈlʌki/,幸运的,You are very lucky!
七年级下册U3,healthy,/ˈhelθi/,健康的,Eat healthy food.
七年级下册U3,fit,/fɪt/,健康的；适合的,Keep fit!
七年级下册U3,exercise,/ˈeksəsaɪz/,锻炼；运动,We exercise every day.
七年级下册U3,sport,/spɔːt/,运动,Basketball is my favorite sport.
七年级下册U3,basketball,/ˈbɑːskɪtbɔːl/,篮球,Let's play basketball.
七年级下册U3,football,/ˈfʊtbɔːl/,足球；橄榄球,He plays football well.
七年级下册U3,tennis,/ˈtenɪs/,网球,We have tennis class.
七年级下册U3,swimming,/ˈswɪmɪŋ/,游泳,Swimming is fun in summer.
七年级下册U3,running,/ˈrʌnɪŋ/,跑步,Running is good exercise.
七年级下册U3,gym,/dʒɪm/,体育馆；健身房,He goes to the gym.
七年级下册U3,yoga,/ˈjəʊɡə/,瑜伽,She does yoga every morning.
七年级下册U3,team,/tiːm/,团队；队,We are on the same team.
七年级下册U3,game,/ɡeɪm/,比赛；游戏,The game is exciting.
七年级下册U3,player,/ˈpleɪə(r)/,运动员；玩家,He is a good basketball player.
七年级下册U3,win,/wɪn/,获胜；赢,Our team can win!
七年级下册U3,lose,/luːz/,输掉；丢失,Don't lose hope.
七年级下册U3,score,/skɔː(r)/,得分；比分,The score is 2-1.
七年级下册U3,health,/helθ/,健康,Health is wealth.
七年级下册U3,body,/ˈbɒdi/,身体,We should keep our body healthy.
七年级下册U3,active,/ˈæktɪv/,积极的；活跃的,Stay active every day.
七年级下册U3,strong,/strɒŋ/,强壮的,He is very strong.
七年级下册U4,watermelon,/ˈwɔːtəmelən/,西瓜,Watermelon is sweet.
七年级下册U4,cabbage,/ˈkæbɪdʒ/,卷心菜；洋白菜,Cabbage is good for health.
七年级下册U4,mutton,/ˈmʌtn/,羊肉,I like mutton noodles.
七年级下册U4,cookie,/ˈkʊki/,曲奇饼,These cookies are delicious.
七年级下册U4,onion,/ˈʌnjən/,洋葱,Onions make me cry.
七年级下册U4,dumpling,/ˈdʌmplɪŋ/,饺子,We eat dumplings at New Year.
七年级下册U4,coffee,/ˈkɒfi/,咖啡,Would you like some coffee?
七年级下册U4,bean,/biːn/,豆；豆类,Green beans are healthy.
七年级下册U4,chip,/tʃɪp/,炸薯条,The fish and chips is great.
七年级下册U4,salad,/ˈsæləd/,沙拉,I have salad for lunch.
七年级下册U4,porridge,/ˈpɒrɪdʒ/,粥；麦片粥,I eat porridge for breakfast.
七年级下册U4,waiter,/ˈweɪtə(r)/,男服务员,The waiter brings the menu.
七年级下册U4,taste,/teɪst/,尝；味道,The soup tastes good.
七年级下册U4,menu,/ˈmenjuː/,菜单,Let's look at the menu.
七年级下册U4,customer,/ˈkʌstəmə(r)/,顾客,The customer orders food.
七年级下册U4,serve,/sɜːv/,服务；提供,They serve delicious food.
七年级下册U4,sugar,/ˈʃʊɡə(r)/,糖,Don't eat too much sugar.
七年级下册U4,salt,/sɔːlt/,盐,Please add some salt.
七年级下册U4,fat,/fæt/,脂肪；肥胖的,This food has too much fat.
七年级下册U4,balanced,/ˈbælənst/,均衡的,Eat a balanced diet.
七年级下册U4,energy,/ˈenədʒi/,能量；精力,We need energy to study.
七年级下册U4,habit,/ˈhæbɪt/,习惯,Good eating habits are important.
七年级下册U4,thirsty,/ˈθɜːsti/,渴的,Are you thirsty?
七年级下册U5,newspaper,/ˈnjuːzpeɪpə(r)/,报纸,My father reads a newspaper.
七年级下册U5,soup,/suːp/,汤,I like chicken soup.
七年级下册U5,movie,/ˈmuːvi/,电影,Let's watch a movie.
七年级下册U5,drink,/drɪŋk/,喝；饮料,What would you like to drink?
七年级下册U5,tea,/tiː/,茶；茶叶,Would you like some tea?
七年级下册U5,pool,/puːl/,水池；游泳池,The children swim in the pool.
七年级下册U5,shop,/ʃɒp/,商店；购物,Let's go shopping.
七年级下册U5,supermarket,/ˈsuːpəmɑːkɪt/,超市,We buy food at the supermarket.
七年级下册U5,race,/reɪs/,比赛；赛跑,He won the race.
七年级下册U5,host,/həʊst/,主人；主办,Beijing hosted the Olympics.
七年级下册U5,study,/ˈstʌdi/,学习；研究,She studies hard.
七年级下册U5,state,/steɪt/,状态；国家；州,The US has 50 states.
七年级下册U5,American,/əˈmerɪkən/,美国的；美国人,She is American.
七年级下册U5,dragon,/ˈdræɡən/,龙,The dragon is a symbol of China.
七年级下册U5,festival,/ˈfestɪvl/,节日,Spring Festival is in January.
七年级下册U5,young,/jʌŋ/,年轻的；年幼的,The young boy is cute.
七年级下册U5,child,/tʃaɪld/,小孩；儿童（pl. children）,The child is playing.
七年级下册U5,miss,/mɪs/,思念；错过,I miss my family.
七年级下册U5,hope,/həʊp/,希望,I hope to see you soon.
七年级下册U5,still,/stɪl/,仍然；还,He is still sleeping.
七年级下册U6,rain,/reɪn/,下雨；雨,It is raining outside.
七年级下册U6,windy,/ˈwɪndi/,有风的,It's windy in spring.
七年级下册U6,cloudy,/ˈklaʊdi/,多云的,Today is cloudy.
七年级下册U6,sunny,/ˈsʌni/,晴朗的,It's a sunny day.
七年级下册U6,snowy,/ˈsnəʊi/,下雪的,It is snowy in winter.
七年级下册U6,weather,/ˈweðə(r)/,天气,What's the weather like?
七年级下册U6,cook,/kʊk/,烹饪；厨师,My mom cooks dinner.
七年级下册U6,park,/pɑːk/,公园,Let's go to the park.
七年级下册U6,message,/ˈmesɪdʒ/,消息；信息,Leave a message please.
七年级下册U6,tell,/tel/,告诉；讲述,Tell me your name.
七年级下册U6,difficult,/ˈdɪfɪkəlt/,困难的,The test is difficult.
七年级下册U6,problem,/ˈprɒbləm/,问题；难题,No problem!
七年级下册U6,again,/əˈɡen/,再一次；又一次,Can you say it again?
七年级下册U6,dry,/draɪ/,干燥的；使变干,The weather is dry.
七年级下册U6,cold,/kəʊld/,寒冷的,It's cold in winter.
七年级下册U6,hot,/hɒt/,热的,Summer is hot.
七年级下册U6,warm,/wɔːm/,温暖的,Spring is warm.
七年级下册U6,visit,/ˈvɪzɪt/,拜访；参观,I want to visit Beijing.
七年级下册U6,Canada,/ˈkænədə/,加拿大,He is from Canada.
七年级下册U6,summer,/ˈsʌmə(r)/,夏天,Summer vacation is coming.
七年级下册U6,sit,/sɪt/,坐,Please sit down.
七年级下册U6,juice,/dʒuːs/,果汁,I'd like a glass of juice.
七年级下册U6,holiday,/ˈhɒlədeɪ/,假日；节日,We have a holiday.
七年级下册U6,vacation,/veɪˈkeɪʃn/,假期,I am on summer vacation.
七年级下册U6,mountain,/ˈmaʊntən/,山；山脉,The mountain is high.
七年级下册U6,country,/ˈkʌntri/,国家；乡村,China is my country.
七年级下册U6,skate,/skeɪt/,滑冰,We skate in winter.
七年级下册U6,winter,/ˈwɪntə(r)/,冬天,Winter is cold.
七年级下册U6,Russian,/ˈrʌʃn/,俄罗斯的；俄语,He speaks Russian.
七年级下册U7,camp,/kæmp/,露营；营地,We go camping in summer.
七年级下册U7,lake,/leɪk/,湖；湖泊,The lake is beautiful.
七年级下册U7,beach,/biːtʃ/,海滩；沙滩,Let's go to the beach.
七年级下册U7,badminton,/ˈbædmɪntən/,羽毛球,We play badminton.
七年级下册U7,sheep,/ʃiːp/,绵羊,The sheep are white.
七年级下册U7,natural,/ˈnætʃrəl/,自然的；天然的,The park is natural.
七年级下册U7,butterfly,/ˈbʌtəflaɪ/,蝴蝶,A butterfly flies in the garden.
七年级下册U7,visitor,/ˈvɪzɪtə(r)/,游客；访问者,Many visitors come here.
七年级下册U7,tired,/ˈtaɪəd/,疲倦的；疲劳的,I am tired after the trip.
七年级下册U7,sleep,/sliːp/,睡觉,Go to sleep early.
七年级下册U7,leave,/liːv/,离开；留下,Don't leave the door open.
七年级下册U7,mouse,/maʊs/,老鼠（pl. mice）,The mouse is small.
七年级下册U7,shout,/ʃaʊt/,喊叫；大声说,Don't shout in class.
七年级下册U7,fly,/flaɪ/,飞；放（风筝）,Let's fly a kite.
七年级下册U7,kite,/kaɪt/,风筝,The kite is in the sky.
七年级下册U7,high,/haɪ/,高的；高地,The bird flies high.
七年级下册U7,middle,/ˈmɪdl/,中间；中等,He sits in the middle.
七年级下册U7,tent,/tent/,帐篷,We put up a tent.
七年级下册U7,moon,/muːn/,月亮,The moon is bright.
七年级下册U7,move,/muːv/,移动；搬家,Move your chair.
七年级下册U7,jump,/dʒʌmp/,跳；跃,The cat can jump high.
七年级下册U7,wake,/weɪk/,醒；醒来,Wake up! It's 7 o'clock.
七年级下册U7,forest,/ˈfɒrɪst/,森林,The forest is large.
七年级下册U7,ear,/ɪə(r)/,耳朵,Rabbits have long ears.
七年级下册U8,story,/ˈstɔːri/,故事；小说,Tell me a story.
七年级下册U8,once,/wʌns/,曾经；一次,Once upon a time...
七年级下册U8,brave,/breɪv/,勇敢的,The boy is brave.
七年级下册U8,clever,/ˈklevə(r)/,聪明的,The fox is clever.
七年级下册U8,prince,/prɪns/,王子,The prince lives in a castle.
七年级下册U8,princess,/ˌprɪnˈses/,公主,The princess is kind.
七年级下册U8,castle,/ˈkɑːsl/,城堡,The castle is old.
七年级下册U8,magic,/ˈmædʒɪk/,魔法；有魔力的,The fairy has magic.
七年级下册U8,fairy,/ˈfeəri/,仙女；小精灵,The fairy grants wishes.
七年级下册U8,scared,/skeəd/,害怕的；恐惧的,I am scared of the dark.
七年级下册U8,honest,/ˈɒnɪst/,诚实的,Be an honest person.
七年级下册U8,truth,/truːθ/,真相；事实,Tell me the truth.
七年级下册U8,power,/ˈpaʊə(r)/,力量；权力,Knowledge is power.
七年级下册U8,cheat,/tʃiːt/,欺骗；作弊,Don't cheat in exams.
七年级下册U8,enemy,/ˈenəmi/,敌人,He has no enemies.
七年级下册U8,unless,/ənˈles/,除非；如果不,You can't win unless you try.
七年级下册U8,war,/wɔː(r)/,战争,The war ended in peace.
七年级下册U8,peace,/piːs/,和平,We all want peace.
七年级下册U8,soldier,/ˈsəʊldʒə(r)/,士兵；战士,The soldier is brave.
七年级下册U8,win,/wɪn/,赢得；获胜,They win the war.
七年级下册U8,forever,/fərˈevə(r)/,永远,We will be friends forever.
七年级下册U1,koala,/kəʊˈɑːlə/,考拉,Koalas are from Australia.
七年级下册U1,smart,/smɑːt/,聪明的,Dolphins are smart.
七年级下册U1,friendly,/ˈfrendli/,友好的,The dog is friendly.
七年级下册U1,shy,/ʃaɪ/,害羞的,The panda is shy.
七年级下册U1,beautiful,/ˈbjuːtɪfl/,美丽的,The butterfly is beautiful.
七年级下册U1,animal,/ˈænɪml/,动物,I love animals.
七年级下册U1,lion,/ˈlaɪən/,狮子,The lion is strong.
七年级下册U1,tiger,/ˈtaɪɡə(r)/,老虎,Tigers are orange and black.
七年级下册U1,panda,/ˈpændə/,熊猫,Pandas are cute.
七年级下册U1,elephant,/ˈelɪfənt/,大象,Elephants are huge.
七年级下册U1,symbol,/ˈsɪmbl/,象征,The panda is a symbol of China.
七年级下册U1,water,/ˈwɔːtə(r)/,水,Animals need clean water.
七年级下册U1,place,/pleɪs/,地点；位置,This is a safe place.
七年级下册U1,cut,/kʌt/,砍；切,Don't cut down trees.
七年级下册U2,read,/riːd/,读；阅读,Read books every day.
七年级下册U2,learn,/lɜːn/,学习,Learn the new words.
七年级下册U3,swim,/swɪm/,游泳,We swim in summer.
七年级下册U3,walk,/wɔːk/,走路；散步,Walk the dog.
七年级下册U3,clean,/kliːn/,打扫；干净的,Clean the room.
七年级下册U3,drink,/drɪŋk/,喝；饮料,Drink more water.
七年级下册U3,rest,/rest/,休息,Take a rest.
七年级下册U4,bread,/bred/,面包,I have bread for breakfast.
七年级下册U4,milk,/mɪlk/,牛奶,Drink milk every day.
七年级下册U4,water,/ˈwɔːtə(r)/,水,Drink enough water.
七年级下册U4,fish,/fɪʃ/,鱼；鱼肉,Fish is healthy.
七年级下册U4,hungry,/ˈhʌŋɡri/,饥饿的,I am hungry.
七年级下册U4,full,/fʊl/,饱的；满的,I am full.
七年级下册U5,shop,/ʃɒp/,商店；购物,Let's go shopping.
七年级下册U5,buy,/baɪ/,购买,I want to buy a gift.
七年级下册U5,pay,/peɪ/,支付,Pay at the counter.
七年级下册U5,expensive,/ɪkˈspensɪv/,昂贵的,The watch is expensive.
七年级下册U5,cheap,/tʃiːp/,便宜的,This hat is cheap.
七年级下册U5,size,/saɪz/,尺码；大小,What size do you need?
七年级下册U5,open,/ˈəʊpən/,开着的；打开,The store opens at 9 am.
七年级下册U5,close,/kləʊz/,关闭；关,The store closes at 9 pm.
七年级下册U5,money,/ˈmʌni/,钱,I don't have enough money.
七年级下册U6,spring,/sprɪŋ/,春天,Spring is warm.
七年级下册U6,summer,/ˈsʌmə(r)/,夏天,Summer is hot.
七年级下册U6,autumn,/ˈɔːtəm/,秋天,Autumn is cool.
七年级下册U6,winter,/ˈwɪntə(r)/,冬天,Winter is cold.
七年级下册U6,season,/ˈsiːzn/,季节,Which season do you like?
七年级下册U6,temperature,/ˈtemprətʃə(r)/,温度,The temperature is 30 degrees.
七年级下册U6,degree,/dɪˈɡriː/,度,It's 20 degrees today.
七年级下册U6,sun,/sʌn/,太阳,The sun is shining.
七年级下册U6,wind,/wɪnd/,风,The wind is blowing.
七年级下册U6,cloud,/klaʊd/,云,The clouds are white.
七年级下册U6,snow,/snəʊ/,雪,It snows in winter.
七年级下册U6,umbrella,/ʌmˈbrelə/,伞,Take an umbrella.
七年级下册U7,trip,/trɪp/,旅行,We had a school trip.
七年级下册U7,visit,/ˈvɪzɪt/,参观；拜访,We visited the museum.
七年级下册U7,enjoy,/ɪnˈdʒɔɪ/,享受,Enjoy your trip!
七年级下册U7,photo,/ˈfəʊtəʊ/,照片,Take a photo.
七年级下册U7,camera,/ˈkæmərə/,照相机,My camera is new.
七年级下册U7,exciting,/ɪkˈsaɪtɪŋ/,令人兴奋的,The trip was exciting.
七年级下册U7,relax,/rɪˈlæks/,放松,Let's relax at the beach.
七年级下册U8,time,/taɪm/,时间,Once upon a time.
七年级下册U8,king,/kɪŋ/,国王,The king was kind.
七年级下册U8,queen,/kwiːn/,女王；王后,The queen is beautiful.
七年级下册U8,stone,/stəʊn/,石头,The boy threw a stone.
七年级下册U8,river,/ˈrɪvə(r)/,河；江,They crossed the river.
七年级下册U8,giant,/ˈdʒaɪənt/,巨人,The giant was friendly.
七年级下册U8,dream,/driːm/,梦；梦想,Follow your dream.
