年级单元,单词,音标,释义,例句
九年级上册U1,socialist,/ˈsəʊʃəlɪst/,社会主义的,We are building a socialist society.
九年级上册U2,inspiring,/ɪnˈspaɪərɪŋ/,鼓舞人心的；激励的,His speech was very inspiring.
九年级上册U2,inspire,/ɪnˈspaɪə(r)/,激励；鼓舞,The teacher inspired us to work hard.
九年级上册U2,admiration,/ˌædməˈreɪʃn/,钦佩；赞赏,I have great admiration for her.
九年级上册U2,admire,/ədˈmaɪə(r)/,钦佩；赞赏,I admire your courage.
九年级上册U2,historian,/hɪˈstɔːriən/,历史学家,The historian wrote a book about the war.
九年级上册U2,researcher,/rɪˈsɜːtʃə(r)/,研究人员,The researchers made a new discovery.
九年级上册U2,chemist,/ˈkemɪst/,化学家,The chemist works in the laboratory.
九年级上册U2,physicist,/ˈfɪzɪsɪst/,物理学家,The physicist studied the movement of stars.
九年级上册U2,hunger,/ˈhʌŋɡə(r)/,饥饿,The organization fights against hunger.
九年级上册U2,chemistry,/ˈkemɪstri/,化学,We study chemistry in the lab.
九年级上册U2,calendar,/ˈkælɪndə(r)/,日历,Look at the calendar to check the date.
九年级上册U2,discovery,/dɪˈskʌvəri/,发现,The discovery changed the world.
九年级上册U2,century,/ˈsentʃəri/,世纪,The building is centuries old.
九年级上册U2,wounded,/ˈwuːndɪd/,受伤的,The wounded soldier was taken to hospital.
九年级上册U2,wound,/wuːnd/,伤口；使受伤,He had a deep wound on his leg.
九年级上册U2,soldier,/ˈsəʊldʒə(r)/,士兵,The soldiers fought bravely.
九年级上册U2,nation,/ˈneɪʃn/,国家；民族,China is a great nation.
九年级上册U2,national,/ˈnæʃnəl/,国家的；民族的,National Day is on October 1st.
九年级上册U2,spread,/spred/,传播；扩散,The news spread quickly.
九年级上册U2,disease,/dɪˈziːz/,疾病；病,The disease spread through the village.
九年级上册U2,pioneer,/ˌpaɪəˈnɪə(r)/,先驱；先锋,He was a pioneer in medicine.
九年级上册U2,balance,/ˈbæləns/,平衡,We should keep a balance between work and rest.
九年级上册U2,scientific,/ˌsaɪənˈtɪfɪk/,科学（上）的,The discovery is of great scientific value.
九年级上册U2,biologist,/baɪˈɒlədʒɪst/,生物学家,The biologist studies plants and animals.
九年级上册U2,whole,/həʊl/,全部的；整个的,The whole class passed the exam.
九年级上册U2,forever,/fərˈevə(r)/,永远,We will be friends forever.
九年级上册U2,radio,/ˈreɪdiəʊ/,无线电；收音机,My grandfather listens to the radio every day.
九年级上册U2,collection,/kəˈlekʃn/,收集物；收藏品,He has a large stamp collection.
九年级上册U2,exploration,/ˌekspləˈreɪʃn/,探索,Space exploration is exciting.
九年级上册U2,universe,/ˈjuːnɪvɜːs/,宇宙,The universe is vast and mysterious.
九年级上册U2,hole,/həʊl/,洞；孔,There is a hole in my sock.
九年级上册U3,learner,/ˈlɜːnə(r)/,学习者,She is a quick learner.
九年级上册U3,flashcard,/ˈflæʃkɑːd/,抽认卡；学习卡片,I use flashcards to remember new words.
九年级上册U3,project,/ˈprɒdʒekt/,计划；项目；课题,We are doing a science project.
九年级上册U3,website,/ˈwebsaɪt/,网站,You can find information on the website.
九年级上册U3,hands-on,/ˌhændz ˈɒn/,动手的；实际操作的,We had hands-on experience in the lab.
九年级上册U3,experiment,/ɪkˈsperɪmənt/,实验；试验,We did an experiment in science class.
九年级上册U3,aloud,/əˈlaʊd/,出声地；大声地,Please read the text aloud.
九年级上册U3,dialogue,/ˈdaɪəlɒɡ/,对话；对白,Write a dialogue in pairs.
九年级上册U3,suit,/suːt/,适合；有利于；套装,The job suits me well.
九年级上册U3,general,/ˈdʒenrəl/,总的；大体的,Give me a general idea of the plan.
九年级上册U3,speed,/spiːd/,速度；加速,The car picked up speed.
九年级上册U3,grammar,/ˈɡræmə(r)/,语法,Learning grammar is important.
九年级上册U3,podcast,/ˈpɒdkɑːst/,播客,I listen to English podcasts.
九年级上册U3,zero,/ˈzɪərəʊ/,零；最低程度,The temperature dropped to zero.
九年级上册U3,material,/məˈtɪəriəl/,材料；资料,The building material is very strong.
九年级上册U3,guide,/ɡaɪd/,引导；向导,The guide showed us around the city.
九年级上册U3,guidance,/ˈɡaɪdns/,指导；引导,Under his guidance I improved a lot.
九年级上册U3,guidebook,/ˈɡaɪdbʊk/,旅游指南；旅行手册,I bought a guidebook about Beijing.
九年级上册U3,feedback,/ˈfiːdbæk/,反馈意见,The teacher gave us helpful feedback.
九年级上册U3,addition,/əˈdɪʃn/,添加；加法,In addition to English I study French.
九年级上册U3,resource,/rɪˈsɔːs/,资源；资料,The library has many learning resources.
九年级上册U3,textbook,/ˈtekstbʊk/,教科书；课本,Open your textbook to page 10.
九年级上册U3,advantage,/ədˈvɑːntɪdʒ/,优势；优点,Being tall is an advantage in basketball.
九年级上册U3,efficient,/ɪˈfɪʃnt/,效率高的,This method is very efficient.
九年级上册U3,efficiently,/ɪˈfɪʃntli/,效率高地,She finished her work efficiently.
九年级上册U3,pronounce,/prəˈnaʊns/,发音,How do you pronounce this word?
九年级上册U3,pronunciation,/prəˌnʌnsiˈeɪʃn/,发音；读音,Your pronunciation is very good.
九年级上册U3,click,/klɪk/,点击；发出咔嗒声,Click the mouse to open the file.
九年级上册U3,magazine,/ˌmæɡəˈziːn/,杂志；期刊,I read a fashion magazine.
九年级上册U3,strategy,/ˈstrætədʒi/,策略；行动计划,We need a good strategy to win.
九年级上册U3,correct,/kəˈrekt/,正确的；纠正,Your answer is correct.
九年级上册U3,suggest,/səˈdʒest/,建议；提议,I suggest you study harder.
九年级上册U3,method,/ˈmeθəd/,方法；办法,This is an effective learning method.
九年级上册U3,summarize,/ˈsʌməraɪz/,总结；概括,Please summarize the main idea.
九年级上册U3,growth,/ɡrəʊθ/,成长；增长,Good habits help personal growth.
九年级上册U3,mindset,/ˈmaɪndset/,观念模式；心态,You need a positive mindset.
九年级上册U3,shelf,/ʃelf/,架子；搁板,Put the books on the shelf.
九年级上册U3,schoolwork,/ˈskuːlwɜːk/,学校作业；功课,I finished my schoolwork early.
九年级上册U3,print,/prɪnt/,打印；印刷,Please print this document.
九年级上册U3,newspaper,/ˈnjuːzpeɪpə(r)/,报纸,My father reads the newspaper every day.
九年级上册U3,recent,/ˈriːsnt/,最近的；最新的,Have you seen the recent news?
九年级上册U3,actively,/ˈæktɪvli/,积极地,She actively takes part in class.
九年级上册U3,enjoyable,/ɪnˈdʒɔɪəbl/,有乐趣的；使人快乐的,The trip was very enjoyable.
九年级上册U4,position,/pəˈzɪʃn/,位置；地方,Can you show me your position on the map?
九年级上册U4,sadness,/ˈsædnəs/,悲伤,He felt great sadness after losing the game.
九年级上册U4,react,/riˈækt/,作出反应；回应,How did he react to the news?
九年级上册U4,stable,/ˈsteɪbl/,稳定的；稳固的,The table is not stable.
九年级上册U4,lecture,/ˈlektʃə(r)/,讲座；讲课,We attended a lecture on history.
九年级上册U4,retell,/ˌriːˈtel/,复述,Please retell the story in your own words.
九年级上册U4,memorize,/ˈmeməraɪz/,记住；记忆,He can memorize 100 words a day.
九年级上册U4,tick,/tɪk/,打钩；对号,Tick the correct answer.
九年级上册U4,grandson,/ˈɡrænsʌn/,孙子；外孙,Her grandson is five years old.
九年级上册U4,case,/keɪs/,情况；事实,In that case I will go with you.
九年级上册U4,opera,/ˈɒprə/,歌剧,I enjoy watching Beijing opera.
九年级上册U4,ticket,/ˈtɪkɪt/,入场券；票,I bought a ticket for the concert.
九年级上册U4,wallet,/ˈwɒlɪt/,钱包,I lost my wallet on the bus.
九年级上册U4,picnic,/ˈpɪknɪk/,野餐,We had a picnic in the park.
九年级上册U4,airport,/ˈeəpɔːt/,机场,We saw her off at the airport.
九年级上册U4,recall,/rɪˈkɔːl/,回忆起；回想起,I can't recall her name.
九年级上册U4,passage,/ˈpæsɪdʒ/,段落；通道,Read the passage and answer the questions.
九年级上册U4,likely,/ˈlaɪkli/,可能的；很可能,It is likely to rain today.
九年级上册U4,discuss,/dɪˈskʌs/,讨论；谈论,We discussed the plan in class.
九年级上册U4,view,/vjuː/,看；观看；观点；视野,What's your view on this issue?
九年级上册U4,effective,/ɪˈfektɪv/,有效的,This medicine is effective for coughs.
九年级上册U4,engine,/ˈendʒɪn/,发动机,The engine of the car is very quiet.
九年级上册U4,address,/əˈdres/,地址；处理；解决,What's your email address?
九年级上册U4,account,/əˈkaʊnt/,账户；账目,I have a bank account.
九年级上册U4,increase,/ɪnˈkriːs/,增加；增长,The population is increasing fast.
九年级上册U4,wild,/waɪld/,野生的；自然生长的,Wild animals should be protected.
九年级上册U4,blood,/blʌd/,血液,The doctor tested his blood.
九年级上册U4,wound,/wuːnd/,伤口；创伤；使受伤,The wound healed slowly.
九年级上册U4,mall,/mɔːl/,购物商场,Let's go to the mall.
九年级上册U4,notebook,/ˈnəʊtbʊk/,笔记本,Write it down in your notebook.
九年级上册U4,squirrel,/ˈskwɪrəl/,松鼠,The squirrel is eating a nut.
九年级上册U4,recognize,/ˈrekəɡnaɪz/,辨认出；认可,I recognized her from the photo.
九年级上册U4,fully,/ˈfʊli/,完全地,I fully agree with you.
九年级上册U4,divide,/dɪˈvaɪd/,（把……）分成,Divide the class into four groups.
九年级上册U4,boost,/buːst/,促进；使增长；提高,The good news boosted his confidence.
九年级上册U4,image,/ˈɪmɪdʒ/,图像；形象；印象,The image on the screen is clear.
九年级上册U4,graph,/ɡræf/,图；图表,The graph shows the temperature changes.
九年级上册U4,passport,/ˈpɑːspɔːt/,护照,You need a passport to travel abroad.
九年级上册U4,password,/ˈpɑːswɜːd/,密码,Don't tell anyone your password.
九年级上册U4,fuel,/ˈfjuːəl/,燃料,We need fuel for the car.
九年级上册U4,outline,/ˈaʊtlaɪn/,提纲；概要；概述,Write an outline before you start.
九年级上册U4,technique,/tekˈniːk/,技巧；技术,He has mastered the technique.
九年级上册U4,grateful,/ˈɡreɪtfl/,感激的,I am grateful for your help.
九年级上册U4,tip,/tɪp/,小贴士；尖端；小费,Here are some tips for learning English.
九年级上册U4,effect,/ɪˈfekt/,效果；作用；影响,The medicine had a good effect.
九年级上册U5,invention,/ɪnˈvenʃn/,发明；创造,The telephone was a great invention.
九年级上册U5,camera,/ˈkæmərə/,照相机；摄影机,I take photos with my camera.
九年级上册U5,laptop,/ˈlæptɒp/,笔记本电脑,I do my work on a laptop.
九年级上册U5,super,/ˈsuːpə(r)/,超级的；顶好的,That's a super idea!
九年级上册U5,sunglasses,/ˈsʌnɡlɑːsɪz/,墨镜,She wears sunglasses on sunny days.
九年级上册U5,itself,/ɪtˈself/,它自己,The door opened by itself.
九年级上册U5,button,/ˈbʌtn/,按钮；扣子,Press the button to start.
九年级上册U5,produce,/prəˈdjuːs/,生产；制造,The factory produces cars.
九年级上册U5,file,/faɪl/,（计算机）文件,Save the file on your computer.
九年级上册U5,plastic,/ˈplæstɪk/,塑料（的）,We should reduce plastic waste.
九年级上册U5,printer,/ˈprɪntə(r)/,打印机,The printer is out of ink.
九年级上册U5,invent,/ɪnˈvent/,发明；编造,Who invented the telephone?
九年级上册U5,suppose,/səˈpəʊz/,认为；推断,I suppose you are right.
九年级上册U5,wheel,/wiːl/,车轮；轮子,The car has four wheels.
九年级上册U5,frozen,/ˈfrəʊzn/,冻硬的；冰封的,The lake is frozen in winter.
九年级上册U5,complete,/kəmˈpliːt/,完成；完全的,Have you completed your homework?
九年级上册U5,layer,/ˈleɪə(r)/,层；表层,There are several layers of paint.
九年级上册U5,melt,/melt/,（使）融化,The ice is melting in the sun.
九年级上册U5,pipe,/paɪp/,管道；管子,Water flows through the pipe.
九年级上册U5,tunnel,/ˈtʌnl/,隧道,The train went through a tunnel.
九年级上册U5,tourism,/ˈtʊərɪzəm/,旅游业,Tourism is important for the local economy.
九年级上册U5,gain,/ɡeɪn/,获得；取得,He gained experience from the job.
九年级上册U5,reality,/riˈæləti/,现实；事实,His dream became a reality.
九年级上册U5,papermaking,/ˈpeɪpəmeɪkɪŋ/,造纸工艺,China invented papermaking.
九年级上册U5,responsible,/rɪˈspɒnsəbl/,有责任的,You should be responsible for your actions.
九年级上册U5,rapid,/ˈræpɪd/,迅速的,The city has seen rapid development.
九年级上册U5,shape,/ʃeɪp/,塑造；形状,Exercise helps shape your body.
九年级上册U5,bronze,/brɒnz/,青铜（的）,The statue is made of bronze.
九年级上册U5,stone,/stəʊn/,石头；岩石,He threw a stone into the water.
九年级上册U5,expensive,/ɪkˈspensɪv/,昂贵的,The watch is too expensive.
九年级上册U5,officer,/ˈɒfɪsə(r)/,官员；职员,The police officer helped us.
九年级上册U5,workshop,/ˈwɜːkʃɒp/,作坊；讲习班,He attended a writing workshop.
九年级上册U5,none,/nʌn/,没有一个,None of them knew the answer.
九年级上册U5,ideal,/aɪˈdiːəl/,最合适的；理想,This is the ideal place for a picnic.
九年级上册U5,certain,/ˈsɜːtn/,某些；确定的,I am certain about the result.
九年级上册U5,suitable,/ˈsuːtəbl/,合适的,This dress is suitable for the party.
九年级上册U5,liquid,/ˈlɪkwɪd/,液体（的）,Water is a liquid.
九年级上册U5,cheap,/tʃiːp/,便宜的（地）,This book is very cheap.
九年级上册U5,creation,/kriˈeɪʃn/,创造；作品,This is a wonderful creation.
九年级上册U5,birth,/bɜːθ/,起源；诞生,The birth of the internet changed everything.
九年级上册U5,rapidly,/ˈræpɪdli/,迅速地,The city has grown rapidly.
九年级上册U5,afford,/əˈfɔːd/,买得起；能做,He can't afford a new car.
九年级上册U5,company,/ˈkʌmpəni/,公司；剧团,She works for a big company.
九年级上册U5,sticky,/ˈstɪki/,黏（性）的；闷热的,The glue is sticky.
九年级上册U5,production,/prəˈdʌkʃn/,生产；制作,The production of steel increased.
九年级上册U5,gradually,/ˈɡrædʒuəli/,逐渐地,The weather gradually got warmer.
九年级上册U5,widely,/ˈwaɪdli/,广泛地,English is widely used around the world.
九年级上册U6,beyond,/bɪˈjɒnd/,超出；在……较远的一边,The mountain is beyond the river.
九年级上册U6,mission,/ˈmɪʃn/,任务；使命,The astronauts completed their mission.
九年级上册U6,telescope,/ˈtelɪskəʊp/,望远镜,We look at stars through a telescope.
九年级上册U6,rover,/ˈrəʊvə(r)/,探测器；漫游者,The rover explores the surface of Mars.
九年级上册U6,manned,/mænd/,载人的；需人操作的,The first manned space flight was in 1961.
九年级上册U6,maintain,/meɪnˈteɪn/,维修；保持,We should maintain good health.
九年级上册U6,launch,/lɔːntʃ/,发射；发起,They launched a rocket into space.
九年级上册U6,weightless,/ˈweɪtləs/,失重的,Astronauts feel weightless in space.
九年级上册U6,movement,/ˈmuːvmənt/,运动；活动,The movement of the planets is regular.
九年级上册U6,asleep,/əˈsliːp/,睡着的,The baby is fast asleep.
九年级上册U6,tie,/taɪ/,系上；领带,He tied his shoelaces.
九年级上册U6,geology,/dʒiˈɒlədʒi/,地质；地质学,The geologist studied the rocks.
九年级上册U6,satellite,/ˈsætəlaɪt/,人造卫星；卫星,The satellite sends signals to Earth.
九年级上册U6,crazy,/ˈkreɪzi/,疯狂的,That's a crazy idea!
九年级上册U6,require,/rɪˈkwaɪə(r)/,需要；要求,This job requires patience.
九年级上册U6,rocket,/ˈrɒkɪt/,火箭,The rocket was launched successfully.
九年级上册U6,cancel,/ˈkænsl/,取消；终止,The flight was cancelled due to weather.
九年级上册U6,publish,/ˈpʌblɪʃ/,刊登；出版,The book was published in 2020.
九年级上册U6,solar,/ˈsəʊlə(r)/,太阳的；太阳能的,We use solar energy to generate electricity.
九年级上册U6,god,/ɡɒd/,神,The ancient Greeks believed in many gods.
九年级上册U6,mysterious,/mɪˈstɪəriəs/,神秘的,The universe is mysterious.
九年级上册U6,spacecraft,/ˈspeɪskrɑːft/,宇宙飞船,The spacecraft orbited the moon.
九年级上册U6,board,/bɔːd/,板；登机/船,All passengers please board the plane.
九年级上册U6,billion,/ˈbɪljən/,十亿,The population is over 7 billion.
九年级上册U6,trillion,/ˈtrɪljən/,万亿；兆,The national debt is trillions of dollars.
九年级上册U6,completely,/kəmˈpliːtli/,彻底地；完全地,I completely agree with you.
九年级上册U6,cooperate,/kəʊˈɒpəreɪt/,合作；协作,The two teams cooperated on the project.
九年级上册U7,rhythm,/ˈrɪðəm/,节奏；韵律,I love the rhythm of this song.
九年级上册U7,folk,/fəʊk/,民间音乐,I like Chinese folk music.
九年级上册U7,pop,/pɒp/,流行音乐,Pop music is very popular among young people.
九年级上册U7,jazz,/dʒæz/,爵士乐,He plays jazz on the piano.
九年级上册U7,rap,/ræp/,说唱乐,My brother loves rap music.
九年级上册U7,soul,/səʊl/,灵魂；真挚情感,The music is full of soul.
九年级上册U7,lyric,/ˈlɪrɪk/,歌词,I love the lyrics of this song.
九年级上册U7,melody,/ˈmelədi/,旋律,The melody is beautiful.
九年级上册U7,keyboard,/ˈkiːbɔːd/,电子琴；键盘,She plays the keyboard well.
九年级上册U7,trumpet,/ˈtrʌmpɪt/,小号；喇叭,He plays the trumpet in the band.
九年级上册U7,performance,/pəˈfɔːməns/,演出；表演,Her performance was excellent.
九年级上册U7,performer,/pəˈfɔːmə(r)/,演奏者；表演者,The performer received a warm welcome.
九年级上册U7,composer,/kəmˈpəʊzə(r)/,作曲家,Beethoven was a great composer.
九年级上册U7,pianist,/ˈpiːənɪst/,钢琴家；钢琴演奏者,The pianist played beautifully.
九年级上册U7,conductor,/kənˈdʌktə(r)/,指挥,The conductor led the orchestra.
九年级上册U7,lover,/ˈlʌvə(r)/,爱好者；情人,She is a music lover.
九年级上册U7,poet,/ˈpəʊɪt/,诗人,The poet wrote beautiful poems.
九年级上册U7,policewoman,/pəˈliːswʊmən/,女警察,The policewoman helped find the lost child.
九年级上册U7,genius,/ˈdʒiːniəs/,天才；天赋,Einstein was a genius.
九年级上册U7,champion,/ˈtʃæmpiən/,冠军,He is the boxing champion.
九年级上册U7,schoolmate,/ˈskuːlmeɪt/,同学,He is my schoolmate.
九年级上册U7,traditional,/trəˈdɪʃənl/,传统的；习俗的,We eat traditional food during Spring Festival.
九年级上册U7,electric,/ɪˈlektrɪk/,电的；令人激动的,He plays an electric guitar.
九年级上册U7,romantic,/rəʊˈmæntɪk/,浪漫的；爱情的,The movie is a romantic comedy.
九年级上册U7,golden,/ˈɡəʊldən/,金色的,The sunset was golden.
九年级上册U7,purple,/ˈpɜːpl/,紫色；紫色的,She wore a purple dress.
九年级上册U7,deaf,/def/,聋的,The deaf communicate with sign language.
九年级上册U7,gifted,/ˈɡɪftɪd/,有天赋的,She is a gifted musician.
九年级上册U7,valuable,/ˈvæljuəbl/,宝贵的；贵重的,This is a valuable painting.
九年级上册U7,fair,/feə(r)/,公平的；集市；游乐场,The game was fair.
九年级上册U7,comment,/ˈkɒment/,评论；评价,Please leave a comment below.
九年级上册U7,style,/staɪl/,风格；方式,I like the style of this music.
九年级上册U7,download,/ˈdaʊnləʊd/,下载,You can download the song for free.
九年级上册U7,rating,/ˈreɪtɪŋ/,评分；等级,The movie has a high rating.
九年级上册U7,characteristic,/ˌkærɪktəˈrɪstɪk/,特征；品质；典型的,Patience is a characteristic of good teachers.
九年级上册U7,profession,/prəˈfeʃn/,职业；行业,Teaching is a noble profession.
九年级上册U7,contribution,/ˌkɒntrɪˈbjuːʃn/,贡献；捐款,He made a great contribution to science.
九年级上册U7,cartoon,/kɑːˈtuːn/,动画片；漫画,Children love watching cartoons.
九年级上册U7,tape,/teɪp/,磁带；录像带,We listened to the tape in class.
九年级上册U7,tap,/tæp/,轻敲；打节拍；水龙头,He tapped his foot to the music.
九年级上册U7,finger,/ˈfɪŋɡə(r)/,手指,She has long fingers.
九年级上册U7,imagination,/ɪˌmædʒɪˈneɪʃn/,想象力；想象,Children have a wild imagination.
九年级上册U7,nowadays,/ˈnaʊədeɪz/,现在；目前,Nowadays many people use smartphones.
九年级上册U7,funeral,/ˈfjuːnərəl/,葬礼,The funeral was held on Sunday.
九年级上册U7,celebrate,/ˈselɪbreɪt/,赞誉；赞美；庆祝,We celebrate his success.
九年级上册U7,attend,/əˈtend/,上学；出席；参加,All students must attend the meeting.
九年级上册U7,outdo,/ˌaʊtˈduː/,超越；胜过,He always tries to outdo others.
九年级上册U7,widen,/ˈwaɪdn/,拓宽；扩大,The road was widened.
九年级上册U7,experience,/ɪkˈspɪriəns/,经历；经验；体验,I had a wonderful experience.
九年级上册U7,respect,/rɪˈspekt/,尊重；敬重,We should respect our elders.
九年级上册U8,pull-up,/ˈpʊl ʌp/,引体向上,He can do 20 pull-ups.
九年级上册U8,relay,/ˈriːleɪ/,接力赛,The relay race is exciting.
九年级上册U8,shot-put,/ˈʃɒt pʊt/,推铅球,He won the shot-put competition.
九年级上册U8,boxing,/ˈbɒksɪŋ/,拳击运动,Boxing is a popular sport.
九年级上册U8,competition,/ˌkɒmpəˈtɪʃn/,比赛；竞赛,The competition was very intense.
九年级上册U8,tryout,/ˈtraɪaʊt/,预赛；选拔赛,He passed the tryout for the team.
九年级上册U8,handoff,/ˈhændɒf/,接力棒交接,The handoff was smooth.
九年级上册U8,baton,/ˈbætɒn/,接力棒,He passed the baton to the next runner.
九年级上册U8,judge,/dʒʌdʒ/,裁判员；法官,The judge gave the final score.
九年级上册U8,runner,/ˈrʌnə(r)/,赛跑运动员,The runner broke the record.
九年级上册U8,advertisement,/ədˈvɜːtɪsmənt/,广告；启事,I saw a job advertisement.
九年级上册U8,figure,/ˈfɪɡə(r)/,花样；数字；人物,She is a public figure.
九年级上册U8,strength,/streŋθ/,力量；体力,Exercise helps build strength.
九年级上册U8,ceremony,/ˈserəməni/,典礼；仪式,The opening ceremony was grand.
九年级上册U8,mascot,/ˈmæskɒt/,吉祥物,The panda is the mascot.
九年级上册U8,motto,/ˈmɒtəʊ/,口号；格言,Our school motto is "Never give up".
九年级上册U8,freestyle,/ˈfriːstaɪl/,自由式比赛,He swims freestyle.
九年级上册U8,gold,/ɡəʊld/,金子；金牌,The athlete won a gold medal.
九年级上册U8,medal,/ˈmedl/,奖章；勋章,She got a bronze medal.
九年级上册U8,pride,/praɪd/,自豪；骄傲,He takes pride in his work.
九年级上册U8,harmony,/ˈhɑːməni/,和谐；和睦,We live in harmony with nature.
九年级上册U8,master,/ˈmɑːstə(r)/,能手,He is a master of the sport.
九年级上册U8,round,/raʊnd/,轮次；比赛阶段,The next round of the competition starts tomorrow.
九年级上册U8,crowd,/kraʊd/,人群；观众,The crowd cheered for the players.
九年级上册U8,event,/ɪˈvent/,赛事；比赛项目；活动,The 100-meter race is the main event.
九年级上册U8,race,/reɪs/,赛跑；比赛,He won the race.
九年级上册U8,teammate,/ˈtiːmmeɪt/,队友,My teammate helped me a lot.
九年级上册U8,duty,/ˈdjuːti/,职责；任务,It's my duty to help others.
九年级上册U8,victory,/ˈvɪktəri/,胜利；成功,The team celebrated their victory.
九年级上册U8,challenge,/ˈtʃælɪndʒ/,挑战,Learning English is a challenge.
九年级上册U8,opportunity,/ˌɒpəˈtjuːnəti/,机会；机遇,Don't miss this opportunity.
九年级上册U8,coach,/kəʊtʃ/,教练,The coach trained the players hard.
九年级上册U8,champion,/ˈtʃæmpiən/,冠军；优胜者,He is the national champion.
九年级上册U8,smooth,/smuːð/,顺利的；光滑的,The road is smooth.
九年级上册U8,fantastic,/fænˈtæstɪk/,精彩的；极好的,The game was fantastic!
九年级上册U8,talented,/ˈtæləntɪd/,有天赋的；多才的,She is a talented singer.
九年级上册U8,dramatic,/drəˈmætɪk/,激动人心的；出乎意料的,The victory was dramatic.
九年级上册U8,compete,/kəmˈpiːt/,参加比赛；竞争,Players compete for the gold medal.
九年级上册U8,host,/həʊst/,主办；主持,Beijing hosted the 2022 Winter Olympics.
九年级上册U8,shoot,/ʃuːt/,射击；开枪,He shot the ball into the goal.
九年级上册U8,amaze,/əˈmeɪz/,使惊奇；使惊诧,The performance amazed everyone.
九年级上册U8,satisfy,/ˈsætɪsfaɪ/,使（某人）满意,The result satisfied the coach.
九年级上册U8,truly,/ˈtruːli/,真正地；诚恳地,I am truly grateful for your help.
九年级上册U8,anyway,/ˈeniweɪ/,无论如何；不管怎样,Anyway let's keep trying.
