grade_unit,单词,音标,释义,例句
八年级上册U1,"peace","/piːs/","和平；太平",
八年级上册U1,"easily","/ˈiːzəli/","容易地；轻易地",
八年级上册U1,"forget v（. forgot /fəˈɡɒt/)","/fəˈɡet/","忘记；遗忘",
八年级上册U1,"noon","/nuːn/","正午；中午",
八年级上册U1,"sick","/sɪk/","生病的；恶心的",
八年级上册U1,"station","/ˈsteɪʃn/","火车站；公共汽车站",
八年级上册U1,"palace","/ˈpæləs/","王宫；宫殿",
八年级上册U1,"accordion","/əˈkɔːdiən/","手风琴 get together 聚会；相聚 in the sun 在阳光下",
八年级上册U1,"tower","/taʊə(r)/","塔；塔楼",
八年级上册U1,"might modal v.","/maɪt/","可能；可以",
八年级上册U1,"budget","/ˈbʌdʒɪt/","预算 v. 把……编入预算；精打细算",
八年级上册U1,"passport","/ˈpɑːspɔːt/","护照",
八年级上册U1,"forgetful","/fəˈgetfl/","健忘的；好忘事的",
八年级上册U1,"faraway","/ˈfɑːrəweɪ;ˌfɑːrəˈweɪ/","远方的；遥远的",
八年级上册U1,"regular","/ˈreɡjələ(r)/","平常的；有规律的",
八年级上册U1,"countryside","/ˈkʌntrisaɪd/","乡村；农村 turn around 转身；翻转",
八年级上册U1,"surprised","/səˈpraɪzd/","惊奇的；惊讶的",
八年级上册U1,"deer","/dɪə(r)/","鹿",
八年级上册U1,"probably","/ˈprɒbəbli/","很可能；大概 look for 寻找",
八年级上册U1,"Guest-Greeting Pine /paɪn/","/ˈɡest ˌɡriːtɪŋ/","迎客松 Sea of Clouds 云海",
八年级上册U2,"pack","/pæk/","打包；收拾 pack up 打包",
八年级上册U2,"bathroom","/ˈbɑːθruːm/","浴室；洗手间",
八年级上册U2,"sort","/sɔːt/","把……分类；整理 n. 种类",
八年级上册U2,"bedroom","/ˈbedruːm/","卧室",
八年级上册U2,"balcony","/ˈbælkəni/","阳台 hang up 挂起；挂断电话",
八年级上册U2,"invite","/ɪnˈvaɪt/","邀请 living room 客厅",
八年级上册U2,"arrival","/əˈraɪvl/","到达",
八年级上册U2,"yet","/jet/","用于否定句和疑问句）还 conj. 但是",
八年级上册U2,"add","/æd/","添加；加 add sth to sth 把……加入…… go shopping 去购物",
八年级上册U2,"biscuit","/ˈbɪskɪt/","饼干",
八年级上册U2,"borrow","/ˈbɒrəʊ/","借",
八年级上册U2,"plan","/plæn/","策划；打算 n. 计划；方案",
八年级上册U2,"treasure","/ˈtreʒə(r)/","宝物；财富 v. 珍视",
八年级上册U2,"hunt","/hʌnt/","搜寻；狩猎 v. 搜寻；打猎 treasure hunt 寻宝游戏",
八年级上册U2,"lift","/lɪft/","搭便车；电梯 v. 举起；抬起 give sb a lift 开车顺便送某人",
八年级上册U2,"until","/ənˈtɪl/","到……时；直到……为止 be careful with 注意；当心",
八年级上册U2,"movie","/ˈmuːvi/","电影 the movies 电影院；电影产业",
八年级上册U2,"dead","/ded/","不运行的；死的",
八年级上册U2,"note","/nəʊt/","笔记；记录；便条 v. 注意；指出 take notes 做笔记 clean up 清扫",
八年级上册U2,"community","/kəˈmjuːnəti/","社区；社团",
八年级上册U2,"rubbish","/ˈrʌbɪʃ/","垃圾",
八年级上册U2,"almost","/ˈɔːlməʊst/","差不多；几乎",
八年级上册U2,"journey","/ˈdʒɜːni/","旅行；历程 v. 旅行",
八年级上册U2,"pull","/pʊl/","拉；拖；拔",
八年级上册U2,"luggage","/ˈlʌɡɪdʒ/","行李",
八年级上册U2,"ah interj.","/ɑː/","啊（表示高兴、惊奇等） share sth with sb 把……与……分享",
八年级上册U2,"mm (= mmm) interj.","/m/","嗯（表示喜欢、同意等）",
八年级上册U2,"familiar","/fəˈmɪliə(r)/","熟悉的",
八年级上册U2,"joke","/dʒəuk/","笑话 v. 开玩笑",
八年级上册U2,"several","/ˈsevrəl/","几个；一些 adj. 各自的",
八年级上册U2,"nod","/nɒd/","点（头）",
八年级上册U2,"writer","/ˈraɪtə(r)/","作者",
八年级上册U2,"text","/tekst/","正文；文本 v（. 用手机给某人）发短信",
八年级上册U2,"describe","/dɪˈskraɪb/","描述；形容",
八年级上册U2,"wherever","/weərˈevə(r)/","无论去哪里；在任何地方",
八年级上册U2,"matter","/ˈmætə(r)/","要紧 n. 问题 no matter 不论；不要紧",
八年级上册U2,"perhaps","/pəˈhæps; præps/","也许；可能",
八年级上册U2,"plate","/pleɪt/","盘子；碟子",
八年级上册U2,"freshly","/ˈfreʃli/","刚刚",
八年级上册U2,"smell","/smel/","发臭；闻到 n. 气味；臭味",
八年级上册U2,"joy","/dʒɔɪ/","喜悦；乐趣",
八年级上册U2,"apartment","/əˈpɑːtmənt/","房间；公寓套房",
八年级上册U2,"block","/blɒk/","大楼；街区；大块",
八年级上册U2,"decorate","/ˈdekəreɪt/","装饰；装潢",
八年级上册U2,"cover","/ˈkʌvə(r)/","遮盖；包括 n. 遮盖物；封皮",
八年级上册U2,"poster","/ˈpəʊstə(r)/","海报",
八年级上册U2,"scissors","/ˈsɪzəz/","剪刀",
八年级上册U2,"glue","/ɡluː/","胶水 v. 粘贴 paper cutting 剪纸",
八年级上册U3,"compare","/kəmˈpeə(r)/","比较；对比",
八年级上册U3,"shy","/ʃaɪ/","害羞的",
八年级上册U3,"lazy","/ˈleɪzi/","懒惰的；懒洋洋的",
八年级上册U3,"loud","/laʊd/","响亮地 adj. 大声的",
八年级上册U3,"outgoing","/ˈaʊtɡəʊɪŋ/","外向的",
八年级上册U3,"hard-working","/ˌhɑːd ˈwɜːkɪŋ/","勤奋的",
八年级上册U3,"perform","/pəˈfɔːm/","表演；执行",
八年级上册U3,"solve","/sɒlv/","解决；解答",
八年级上册U3,"flute","/fluːt/","长笛",
八年级上册U3,"congratulation","/kənˌɡrætʃuˈleɪʃn/","祝贺；恭喜 Congratulations (on ...) ! （对……表示）祝贺！",
八年级上册U3,"prize","/praɪz/","奖；奖励",
八年级上册U3,"attend","/əˈtend/","参加；出席 as … as … 像……一样……",
八年级上册U3,"besides","/bɪˈsaɪdz/","除……之外（还） adv. 而且",
八年级上册U3,"spare","/speə(r)/","空闲的；备用的 v. 抽出；拨出 spare time 空闲时间",
八年级上册U3,"pleasure","/ˈpleʒə(r)/","乐事；愉快；荣幸 have sth in common 有共同之处",
八年级上册U3,"appearance","/əˈpɪərəns/","外表；露面",
八年级上册U3,"personality","/ˌpɜːsəˈnæləti/","性格；品质",
八年级上册U3,"serious","/ˈsɪəriəs/","严肃的；严重的",
八年级上册U3,"strength","/streŋθ/","优势；力量",
八年级上册U3,"fact","/fækt/","事实；现实",
八年级上册U3,"slim","/slɪm/","苗条的；薄的",
八年级上册U3,"population","/ˌpɒpjuˈleɪʃn/","人口",
八年级上册U3,"average","/ˈævərɪdʒ/","平均的；平常的",
八年级上册U3,"rainfall","/ˈreɪnfɔːl/","降雨量",
八年级上册U3,"per","/pə(r)/","每",
八年级上册U3,"mm (= millimetre ; millimeter)","/ˈmɪlimiːtə(r)/","毫米",
八年级上册U3,"pleasant","/ˈpleznt/","宜人的；友好的",
八年级上册U3,"alike","/əˈlaɪk/","相像的 adv. 相似地",
八年级上册U3,"mirror","/ˈmɪrə(r)/","镜子",
八年级上册U3,"interest","/ˈɪntrest/","业余爱好；兴趣 v. 使感兴趣",
八年级上册U3,"novel","/ˈnɒvl/","小说",
八年级上册U3,"difference","/ˈdɪfrəns/","差异",
八年级上册U3,"sense","/sens/","理解力；感觉",
八年级上册U3,"humour (= humor) n.","/ˈhjuːmə/","幽默；幽默感 thanks to 归功于；由于；因为",
八年级上册U3,"less","/les/","较少的；更少的 adv. 较少地；更少地 pron. 较少；更少",
八年级上册U3,"straightforward","/ˌstreɪtˈfɔːwəd/","坦率的；简单的",
八年级上册U3,"opinion","/əˈpɪnjən/","看法；意见 make a mistake 犯错误",
八年级上册U3,"honest","/ˈɒnɪst/","坦诚的；诚实的",
八年级上册U3,"direct","/dəˈrekt; dɑɪˈrekt/","率直的；直接的",
八年级上册U3,"similarity","/ˌsɪməˈlærəti/","相似之处",
八年级上册U3,"friendship","/ˈfrendʃɪp/","友谊；友情",
八年级上册U3,"metre (= meter) n.","/ˈmiːtə(r)/","米",
八年级上册U3,"prince","/prɪns/","王子",
八年级上册U3,"character","/ˈkærəktə(r)/","人物；个性",
八年级上册U3,"pauper","/ˈpɔːpə(r)/","贫民；乞丐",
八年级上册U3,"exchange","/ɪksˈtʃeɪndʒ/","交换",
八年级上册U3,"accident","/ˈæksɪdənt/","意外；（交通）事故",
八年级上册U3,"tool","/tuːl/","工具；手段 by accident 偶然；意外地",
八年级上册U3,"actually","/ˈæktʃuəli/","实际上；居然",
八年级上册U3,"expect","/ɪkˈspekt/","预料；期待",
八年级上册U3,"shoot","/ʃuːt/","幼苗；嫩芽",
八年级上册U3,"silver","/ˈsɪlvə(r)/","银色的 n. 银",
八年级上册U3,"silver lining","/ˈlaɪnɪŋ/","一线光明",
八年级上册U3,"appear","/əˈpɪə(r)/","出现；呈现",
八年级上册U3,"situation","/ˌsɪtʃuˈeɪʃn/","情况；状况 feel free (to do sth) 可以随便做某事 care about 关心；担心",
八年级上册U3,"land","/lænd/","陆地；土地",
八年级上册U3,"reach","/riːtʃ/","伸手；达到 v. 降落；着陆 reach for 伸手触碰",
八年级上册U3,"African","/ˈæfrɪkən/","",
八年级上册U3,"touch","/tʌtʃ/","触动；触碰 adj. 非洲的；非洲人的 lend (sb) a hand 帮助（某人） n. 非洲人",
八年级上册U3,"peony","/ˈpiːəni/","牡丹；芍药",
八年级上册U3,"lotus","/ˈləʊtəs/","莲花",
八年级上册U3,"butterfly","/ˈbʌtəflaɪ/","蝴蝶",
八年级上册U3,"wing","/wɪŋ/","翅膀；翼",
八年级上册U3,"frog","/frɒɡ/","蛙；青蛙",
八年级上册U3,"weigh","/weɪ/","有……重；称重量",
八年级上册U3,"ginkgo","/ˈɡɪŋkəʊ/","银杏 芝加哥（美国城市）",
八年级上册U3,"province","/ˈprɒvɪns/","省份 take a walk 散步",
八年级上册U4,"connect","/kəˈnekt/","关联；连接",
八年级上册U4,"moss","/mɒs/","苔藓",
八年级上册U4,"connected","/kəˈnektɪd/","",
八年级上册U4,"redwood","/ˈredwʊd/","红杉；红木 adj. 连接的；相关的",
八年级上册U4,"cheetah","/ˈtʃiːtə/","猎豹",
八年级上册U4,"folding","/ˈfəʊldɪŋ/","与……有关联 折叠式的；可折叠的",
八年级上册U4,"without","/wɪˈðaʊt/","没有；缺乏 folding fan 折扇",
八年级上册U4,"imagine","/ɪˈmædʒɪn/","想象；猜想",
八年级上册U4,"bamboo","/ˌbæmˈbuː/","竹；竹子",
八年级上册U4,"honey","/ˈhʌni/","蜂蜜；（爱称）亲爱的",
八年级上册U4,"yeah interj.","/jeə/","是的；对",
八年级上册U4,"disappointed","/ˌdɪsəˈpɔɪntɪd/","",
八年级上册U4,"popular","/ˈpɒpjələ(r)/","失望的；沮丧的 adj. 广受欢迎的；流行的",
八年级上册U4,"connection","/kəˈnekʃn/","联系；连接",
八年级上册U4,"goodness","/ˈɡʊdnəs/","美德；营养 pollination /ˌpɒləˈneɪʃn/ n. 授粉",
八年级上册U4,"pollen","/ˈpɒlən/","花粉",
八年级上册U4,"action","/ˈækʃn/","行动；行为 in fact 确切地说；实际上",
八年级上册U4,"per cent (= percent) n.","/pə ˈsent/","百分之…… adj. & adv. 每一百中 for this reason 出于这个原因",
八年级上册U4,"planet","/ˈplænɪt/","行星 in order to 为了；以便",
八年级上册U4,"store","/stɔː(r)/","贮存；存储 n. 百货商店；商店",
八年级上册U4,"honeycomb","/ˈhʌnikəʊm/","蜂巢",
八年级上册U4,"communicate","/kəˈmjuːnɪkeɪt/","交流；沟通 play a part (in sth) 参与某事",
八年级上册U4,"ecosystem","/ˈiːkəʊsɪstəm/","生态系统",
八年级上册U4,"protect","/prəˈtekt/","保护；防护",
八年级上册U4,"importance","/ɪmˈpɔːtns/","重要性",
八年级上册U4,"title","/ˈtaɪtl/","标题；题目；名称",
八年级上册U4,"human","/ˈhjuːmən/","人 adj. 人的；人类的",
八年级上册U4,"ant","/ænt/","蚂蚁",
八年级上册U4,"happiness","/ˈhæpinəs/","幸福；快乐",
八年级上册U4,"disappoint","/ˌdɪsəˈpɔɪnt/","使失望；使破灭",
八年级上册U4,"mushroom","/ˈmʌʃrʊm /","蘑菇；伞菌",
八年级上册U4,"ton","/tʌn/","吨",
八年级上册U4,"role","/rəʊl/","作用；职能；角色 play a role (in) 在……中发挥作用； 扮演角色",
八年级上册U4,"pea","/piː/","豌豆",
八年级上册U4,"climate","/ˈklaɪmət/","气候",
八年级上册U4,"ocean","/ˈəʊʃn/","大海；海洋",
八年级上册U4,"except","/ɪkˈsept/","除……之外；除了",
八年级上册U4,"tiny","/ˈtaɪni/","极小的；微小的 live up to 达到；符合",
八年级上册U4,"lively","/ˈlaɪvli/","精力充沛的；生机勃勃的",
八年级上册U5,"pepper","/ˈpepə(r)/","胡椒粉；菜椒 cut up 切碎；剁碎",
八年级上册U5,"mix v（.","/mɪks/","使）混合；融合；调配 n. 混合；混杂；混合料",
八年级上册U5,"bake","/beɪk/","烘焙",
八年级上册U5,"oven","/ˈʌvn/","烤箱；烤炉 pour sth into sth 将……倒入……",
八年级上册U5,"flour","/ˈflaʊə(r)/","面粉",
八年级上册U5,"boil","/bɔɪl/","煮沸；烧开 n. 沸腾；沸点",
八年级上册U5,"butter","/ˈbʌtə(r)/","黄油",
八年级上册U5,"cheese","/tʃiːz/","奶酪；干酪",
八年级上册U5,"tablespoon","/ˈteɪblspuːn/","一汤匙（的量）； 餐匙；汤匙",
八年级上册U5,"mash","/mæʃ/","捣烂；捣碎",
八年级上册U5,"mashed potatoes","/mæʃt/","土豆泥",
八年级上册U5,"stir-fry","/ˈstɜː fraɪ/","翻炒；炒；煸 do with 处理",
八年级上册U5,"bowl","/bəʊl/","碗；钵；盆",
八年级上册U5,"heat","/hiːt/","加热；变热 n. 热；温度；炎热天气",
八年级上册U5,"oil","/ɔɪl/","食用油；石油；燃油",
八年级上册U5,"pan","/pæn/","平底锅；烤盘 put sth back 将……放回 mix … with …（使）……和……混合",
八年级上册U5,"simple","/ˈsɪmpl/","简单的；朴素的",
八年级上册U5,"ingredient","/ɪnˈɡriːdiənt/","材料；食材",
八年级上册U5,"instruction","/ɪnˈstrʌkʃn/","用法说明；操作指南",
八年级上册U5,"steamed f ish","/stiːmd/","清蒸鱼",
八年级上册U5,"hot and sour soup","/saʊə(r)/","酸辣汤",
八年级上册U5,"mess","/mes/","脏乱；凌乱",
八年级上册U5,"pretty","/ˈprɪti/","漂亮的；美丽的 adv. 相当；十分；非常",
八年级上册U5,"Christmas","/ˈkrɪsməs/","圣诞节",
八年级上册U5,"pancake","/ˈpænkeɪk/","烙饼；薄饼",
八年级上册U5,"dream","/driːm/","梦想；梦",
八年级上册U5,"university","/ˌjuːnɪˈvɜːsəti/","综合性）大学；高等学府 go boating 去划船",
八年级上册U5,"memory","/ˈmeməri/","回忆；记忆",
八年级上册U5,"visible","/ˈvɪzəbl/","看得见的；可见的",
八年级上册U5,"pumpkin","/ˈpʌmpkɪn/","南瓜",
八年级上册U5,"pie","/paɪ/","果馅饼；肉馅饼 warm up（使）活跃起来； 热身；预热",
八年级上册U5,"cinnamon","/ˈsɪnəmən/","肉桂皮；桂皮香料 fill … with …（使）充满；（使）填满",
八年级上册U5,"sweetness","/ˈswiːtnəs/","甜；芬芳；愉悦",
八年级上册U5,"college","/ˈkɒlɪdʒ/","学院；大学",
八年级上册U5,"host","/həʊst/","主人；东道主 v. 主办；主持（活动）",
八年级上册U5,"hostess","/ˈhəʊstəs/","女主人；女房东",
八年级上册U5,"recipe","/ˈresəpi/","食谱；烹饪法",
八年级上册U5,"cream","/kriːm/","奶油；护肤霜；奶油色",
八年级上册U5,"crust","/krʌst/","糕饼酥皮；面包皮",
八年级上册U5,"mixture","/ˈmɪkstʃə(r)/","混合物；结合体",
八年级上册U5,"least","/liːst/","最小；最少 at least 至少",
八年级上册U5,"secret","/ˈsiːkrət/","诀窍；秘密 adj. 秘密的；隐秘的",
八年级上册U5,"according to","/əˈkɔːdɪŋ/","根据；依照",
八年级上册U5,"whenever","/wenˈevə(r)/","每当；在任何……的时候",
八年级上册U5,"item","/ˈaɪtəm/","项目",
八年级上册U5,"spaghetti","/spəˈɡeti/","意大利细面条",
八年级上册U5,"spoon","/spuːn/","一勺的量；勺",
八年级上册U5,"slice","/slaɪs/","薄片；片 v. 把……切成薄片；切；割",
八年级上册U5,"couple","/ˈkʌpl/","夫妻；情侣；两人",
八年级上册U5,"island","/ˈaɪlənd/","岛",
八年级上册U5,"wife","/waɪf/","妻子",
八年级上册U5,"separate","/ˈseprət/","单独的；分开的",
八年级上册U5,"born","/bɔːn/","出生；出世 adj. 天生（有某方面才能）的 one by one 逐个地；逐一地",
八年级上册U6,"yourself","/jɔːˈself/","",
八年级上册U6,"pron. (pl. yourselves )","/jɔːˈselvz/","你自己；您自己",
八年级上册U6,"engineer","/ˌendʒɪˈnɪə(r)/","工程师 ；技师",
八年级上册U6,"fashion","/ˈfæʃn/","时装业；时尚",
八年级上册U6,"designer","/dɪˈzaɪnə(r)/","设计师",
八年级上册U6,"director","/dəˈrektə(r); daɪˈrektə(r)/","导演；主任；董事",
八年级上册U6,"musician","/mjuˈzɪʃn/","音乐家；乐师",
八年级上册U6,"fireman","/ˈfaɪəmən/","",
八年级上册U6,"AI","/ˌeɪ ˈaɪ/","(= artif icial /ˌaːtɪˈfɪʃəl/",
八年级上册U6,"intelligence )","/ɪnˈtelədʒəns/","人工智能",
八年级上册U6,"essay","/ˈeseɪ/","小品文；文章",
八年级上册U6,"classic","/ˈklæsɪk/","经典作品；名著 adj. 最优秀的；古典的 keep on doing sth 继续做；反复做 make sure 确保；保证 try one’s best 尽最大努力",
八年级上册U6,"literature","/ˈlɪtrətʃə(r)/","文学；文献",
八年级上册U6,"athlete","/ˈæθliːt/","运动员",
八年级上册U6,"photographer","/fəˈtɒɡrəfə(r)/","摄影师；拍照者",
八年级上册U6,"painter","/ˈpeɪntə(r)/","画家；油漆匠",
八年级上册U6,"businessman","/ˈbɪznəsmæn/","商界人士；企业家",
八年级上册U6,"actress","/ˈæktrəs/","女演员",
八年级上册U6,"lawyer","/ˈlɔːjə(r)/","律师",
八年级上册U6,"law","/lɔː/","法律；法规",
八年级上册U6,"bath","/baːθ/","洗澡；浴缸",
八年级上册U6,"miss","/mɪs/","想念；错过 be tired of 对……感到厌倦",
八年级上册U6,"able","/ˈeɪbl/","能够；有才能的",
八年级上册U6,"stick","/stɪk/","粘贴；将……刺入 n. 枝条；棍 stick to sth 坚持；维持",
八年级上册U6,"resolution","/ˌrezəˈluːʃn/","决定；决议",
八年级上册U6,"mini-goal","/ˈmɪnɪ ɡəʊl/","小目标",
八年级上册U6,"achieve","/əˈtʃiːv/","经过努力）达到；完成",
八年级上册U6,"physical","/ˈfɪzɪkl/","身体的；物质的",
八年级上册U6,"health","/helθ/","健康",
八年级上册U6,"healthily","/ˈhelθɪli/","健康地 take up 开始学；开始从事",
八年级上册U6,"photography","/fəˈtɒɡrəfi/","照相术；摄影",
八年级上册U6,"self-improvement","/ˌself ɪmˈpruːvmənt/","自我改进；自我提高",
八年级上册U6,"confident","/ˈkɒnfɪdənt/","自信的；肯定的",
八年级上册U6,"organized (= organised) adj.","/ˈɔːɡənaɪzd/","有条理的；有组织的",
八年级上册U6,"wisely","/ˈwaɪzli/","聪明地；明智地",
八年级上册U6,"possible","/ˈpɒsəbl/","可能的；合理的",
八年级上册U6,"paragraph","/ˈpærəɡrɑːf/","段；段落",
八年级上册U6,"introduce","/ˌɪntrəˈdjuːs/","介绍；引见；引进",
八年级上册U6,"meaning","/ˈmiːnɪŋ/","意义；含义",
八年级上册U6,"fail","/feɪl/","未能（做到）；失败",
八年级上册U6,"ahead","/əˈhed/","提前；在前面 put out 扑灭；把……摆好",
八年级上册U6,"design","/dɪˈzaɪn/","设计；计划 n. 设计；花纹",
八年级上册U6,"bridge","/brɪdʒ/","桥",
八年级上册U6,"final","/ˈfaɪnl/","最后的；最终的 n. 决赛",
八年级上册U6,"confidence","/ˈkɒnfɪdəns/","信心；信任 draw to a close 即将结束；即将完成",
八年级上册U6,"form","/fɔːm/","使）形成；组成 n. 类型；形式",
八年级上册U6,"relationship","/rɪˈleɪʃnʃɪp/","关系；联系",
八年级上册U6,"push-up","/ˈpʊʃ ʌp/","俯卧撑",
八年级上册U6,"energetic","/ˌenəˈdʒetɪk/","精力充沛的；充满活力的 last but not least 最后但同等重要的",
八年级上册U7,"prediction","/prɪˈdɪkʃn/","预测；预言",
八年级上册U7,"outer","/ˈaʊtə(r)/","外围的；外表的 outer space (= space) 太空；外层空间",
八年级上册U7,"worse","/wɜːs/","的比较级） 更差的；更糟的；更坏的 adv.（badly 的比较级） 更差；更糟；更坏 take over 接替；接管；接收",
八年级上册U7,"sci-f i","/ˈsaɪ faɪ/","科幻小说（或影片等）",
八年级上册U7,"ticket","/ˈtɪkɪt/","票；券",
八年级上册U7,"positive","/ˈpɒzətɪv/","乐观的；积极的；良好的",
八年级上册U7,"traffic","/ˈtræfɪk/","交通；运输 v.（非法）进行交易；做……买卖",
八年级上册U7,"technology","/tekˈnɒlədʒi/","科技；工艺",
八年级上册U7,"video","/ˈvɪdiəʊ/","视频；录像系统 v. 录视频；给……录像",
八年级上册U7,"transport","/ˈtrænspɔːt/","交通运输系统；旅行方式",
八年级上册U7,"system","/ˈsɪstəm/","系统",
八年级上册U7,"efficient","/ɪˈfɪʃnt/","效率高的；有功效的",
八年级上册U7,"education","/ˌedʒuˈkeɪʃn/","教育",
八年级上册U7,"length","/leŋθ/","时长；长度",
八年级上册U7,"topic","/ˈtɒpɪk/","话题；题目；标题",
八年级上册U7,"partner","/ˈpɑːtnə(r)/","搭档；同伴",
八年级上册U7,"shall modal v. (should /ʃʊd/)","/ʃəl; ʃæl/","将要；将会",
八年级上册U7,"pass","/pɑːs/","及格；通过 n. 及格；通行证",
八年级上册U7,"winner","/ˈwɪnə(r)/","优胜者；成功者",
八年级上册U7,"cure","/kjʊə(r)/","药物；疗法 v. 治愈；治好",
八年级上册U7,"cancer","/ˈkænsə(r)/","癌症",
八年级上册U7,"concert","/ˈkɒnsət/","音乐会；演奏会",
八年级上册U7,"cash","/kæʃ/","现金；金钱 v. 兑现",
八年级上册U7,"wallet","/ˈwɒlɪt/","钱包；皮夹",
八年级上册U7,"guest","/gest/","客人；宾客",
八年级上册U7,"author","/ˈɔːθə(r)/","作者；作家",
八年级上册U7,"best-selling","/ˌbestˈselɪŋ/","畅销的",
八年级上册U7,"futurist","/ˈfjuːtʃərɪst/","未来学家",
八年级上册U7,"everywhere","/ˈevriweə(r)/","到处；所有地方",
八年级上册U7,"service","/ˈsɜːvɪs/","服务；公共服务",
八年级上册U7,"disaster","/dɪˈzɑːstə(r)/","灾难；不幸",
八年级上册U7,"emergency","/iˈmɜːdʒənsi/","突发事件；紧急情况",
八年级上册U7,"disappear","/ˌdɪsəˈpɪə(r)/","消失；不见",
八年级上册U7,"challenging","/ˈtʃælɪndʒɪŋ/","挑战性的",
八年级上册U7,"pilot","/ˈpaɪlət/","飞行员；领航员",
八年级上册U7,"expert","/ˈekspɜːt/","专家；行家 adj. 熟练的；内行的",
八年级上册U7,"replace","/rɪˈpleɪs/","代替；取代",
八年级上册U7,"creativity","/ˌkriːeɪˈtɪvəti/","创造力",
八年级上册U7,"emotional","/ɪˈməʊʃənl/","情感的；情绪的",
八年级上册U7,"intelligence","/ɪnˈtelɪdʒəns/","智力；智慧 emotional intelligence 情绪智力",
八年级上册U7,"mention","/ˈmenʃn/","提到；写到",
八年级上册U7,"refrigerator","/rɪˈfrɪdʒəreɪtə(r)/","",
八年级上册U7,"(= fridge ) n.","/frɪdʒ/","冰箱",
八年级上册U7,"accept","/əkˈsept/","接受；相信",
八年级上册U7,"influence","/ˈɪnfluəns /","影响；对……起作用 n. 影响；作用",
八年级上册U7,"creative","/kriˈeɪtɪv/","创造性的；创作的",
八年级上册U7,"impossible","/ɪmˈpɒsəbl/","不可能的",
八年级上册U7,"vs (= versus ) （","/ˈvɜːsəs/","表示双方对阵）对；对抗",
八年级上册U7,"quality","/ˈkwɒləti/","素质；质量；品质 adj. 优质的；高质量的",
八年级上册U7,"develop","/dɪˈveləp/","增强；发展；开发",
八年级上册U7,"German","/ˈdʒɜːmən/","德语；德国人 adj. 德国的",
八年级上册U7,"valuable","/ˈvæljuəbl/","很有用的；宝贵的",
八年级上册U7,"challenge","/ˈtʃælɪndʒ/","挑战；质疑 v. 向（某人）挑战；对……怀疑",
八年级上册U7,"public","/ˈpʌblɪk/","公共的；公众的",
八年级上册U7,"medical","/ˈmedɪkl/","医学的；医疗的",
八年级上册U7,"industry","/ˈɪndəstri/","行业；工业",
八年级上册U7,"task","/tɑːsk/","任务；工作",
八年级上册U7,"depend","/dɪˈpend/","取决于；依靠",
八年级上册U7,"Pete Roberts /ˈrɒbəts/","/pi:t/","皮特 罗伯茨",
八年级上册U7,"Asimov","/ˈæzɪmɒf/","阿西莫夫",
